year,FIPS,Name of Area,State/U.S.-Abbreviation (USPS),Area Total:,% Area Total: Area (Land),% Area Total: Area (Water),Total Population,Population Density (Per Sq. Mile),% Total Population: Male,% Total Population: Female,% Total Population: Under 18 Years,% Total Population: 18 to 34 Years,% Total Population: 35 to 64 Years,% Total Population: 65 and Over,% Total Population: White Alone,% Total Population: Black or African American Alone,% Total Population: American Indian and Alaska Native Alone,% Total Population: Asian Alone,% Total Population: Native Hawaiian and Other Pacific Islander Alone,% Total Population: Some Other Race Alone,% Total Population: Two or More Races,% Population 15 Years and Over: Never Married,% Population 15 Years and Over: Now Married (Not Including Separated),% Population 15 Years and Over: Separated,% Population 15 Years and Over: Widowed,% Population 15 Years and Over: Divorced,Households:,% Households: Family Households,% Households: Family Households: Married-Couple Family,% Households: Family Households: Other Family,"% Households: Family Households: Other Family: Male Householder, No Wife Present","% Households: Family Households: Other Family: Female Householder, No Husband Present",% Households: Nonfamily Households,% Households: Nonfamily Households: Male Householder,% Households: Nonfamily Households: Female Householder,Occupied Housing Units,% Occupied Housing Units: 1-Person Household,% Occupied Housing Units: 2-Person Household,% Occupied Housing Units: 3-Person Household,% Occupied Housing Units: 4-Person Household,% Occupied Housing Units: 5-Person Household,% Occupied Housing Units: 6-Person Household,% Occupied Housing Units: 7-or-More Person Household,% Households: Unmarried-Partner Households,% Households: Unmarried-Partner Households: Same Sex Partners,% Households: Unmarried-Partner Households: Same Sex Partners: Male Householder and Male Partner,% Households: Unmarried-Partner Households: Same Sex Partners: Female Householder and Female Partner,% Households: Unmarried-Partner Households: Opposite Sex Partners,% Households: Unmarried-Partner Households: Opposite Sex Partners: Male Householder and Female Partner,% Households: Unmarried-Partner Households: Opposite Sex Partners: Female Householder and Male Partner,% Households: All Other Households,Average Household Size,Gini Index,% Civilian Population 18 Years and Over: Veteran,% Civilian Population 18 Years and Over: Veteran: 18 to 64 Years,% Civilian Population 18 Years and Over: Veteran: 65 Years and Over,% Civilian Population 18 Years and Over: Nonveteran,% Civilian Population 18 Years and Over: Nonveteran: 18 to 64 Years,% Civilian Population 18 Years and Over: Nonveteran: 65 Years and Over
2018,1001,Autauga County,al,604.3693,98.36,1.64,55200,92.85991999999999,48.68,51.32,24.22,21.25,39.95,14.58,76.88,19.14,0.29,1.03,0.06,0.74,1.87,25.23,56.56,1.52,5.56,11.13,21115,71.8,56.77,15.03,3.64,11.39,28.2,12.65,15.54,21115,25.11,34.82,16.04,13.57,6.85,2.82,0.79,2.44,0.23,0.02,0.2,2.22,1.36,0.86,97.56,2.59,0.4602,12.28,7.25,5.03,87.72,73.25,14.47
2018,1003,Baldwin County,al,2027.269,78.42,21.58,208107,130.9019,48.62,51.38,21.95,18.63,39.88,19.54,86.27,9.5,0.73,0.81,0.0,0.98,1.72,24.75,52.49,1.93,7.46,13.37,78622,65.32,52.72,12.6,3.08,9.52,34.68,13.96,20.72,78622,30.39,39.43,12.7,10.21,5.04,1.65,0.58,3.91,0.14,0.08,0.07,3.77,1.72,2.06,96.09,2.61,0.4609,11.94,5.66,6.28,88.06,69.26,18.8
2018,1005,Barbour County,al,904.5151,97.84,2.16,25782,29.132140000000003,53.13,46.87,21.08,22.68,38.26,17.97,47.38,47.58,0.28,0.37,0.0,3.02,1.37,34.5,41.19,3.65,8.41,12.25,9186,65.64,42.54,23.1,3.77,19.33,34.36,14.66,19.69,9186,32.55,32.26,14.27,12.82,5.79,1.33,0.98,2.84,0.0,0.0,0.0,2.84,1.24,1.6,97.16,2.49,0.4731,7.67,3.6,4.07,92.33,73.63,18.7
2018,1007,Bibb County,al,626.1688,99.41,0.59,22527,36.1902,53.94,46.06,20.68,22.92,40.15,16.25,76.65,22.28,0.04,0.16,0.0,0.04,0.83,32.05,44.37,2.43,8.64,12.52,6840,72.32,53.01,19.31,5.66,13.65,27.68,14.17,13.51,6840,25.96,37.72,16.3,11.97,5.5,1.08,1.46,1.11,0.0,0.0,0.0,1.11,0.99,0.12,98.89,2.99,0.4294,7.15,3.55,3.6,92.85,75.96,16.89
2018,1009,Blount County,al,650.6282,99.11,0.89,57645,89.39555,49.33,50.67,23.36,19.67,39.22,17.75,95.51,1.5,0.24,0.34,0.03,0.76,1.62,20.51,58.17,1.73,7.9,11.69,20600,73.32,57.97,15.35,5.75,9.6,26.68,12.19,14.49,20600,24.71,36.0,15.7,14.6,5.77,1.97,1.27,2.33,0.12,0.0,0.12,2.21,1.04,1.17,97.67,2.77,0.4331,8.53,3.83,4.71,91.47,72.98,18.48
2018,1011,Bullock County,al,625.1435,99.63,0.37,10352,16.621560000000002,54.7,45.3,20.77,21.43,42.19,15.61,21.99,76.25,1.18,0.54,0.0,0.05,0.0,45.48,35.67,3.38,7.1,8.38,3609,68.74,39.01,29.73,5.26,24.47,31.26,15.1,16.15,3609,29.62,31.01,26.02,9.78,0.94,1.69,0.94,1.63,0.0,0.0,0.0,1.63,0.5,1.14,98.37,2.75,0.5174,4.34,2.33,2.01,95.66,77.97,17.69
2018,1013,Butler County,al,777.8815,99.87,0.13,20025,25.77756,46.78,53.22,22.8,19.95,38.24,19.01,52.0,45.22,0.01,1.15,0.0,0.0,1.61,35.89,40.39,3.03,8.84,11.84,6708,66.03,44.51,21.51,3.04,18.47,33.97,13.94,20.04,6708,30.5,37.03,15.77,10.96,3.65,1.71,0.37,3.85,0.0,0.0,0.0,3.85,2.13,1.71,96.15,2.94,0.4708,7.6,3.38,4.22,92.4,71.98,20.42
2018,1015,Calhoun County,al,612.2875,98.95,1.05,115098,189.9722,48.06,51.94,21.89,22.4,38.86,16.84,74.33,20.57,0.31,0.93,0.01,1.48,2.38,28.29,48.5,2.81,7.58,12.83,45033,68.47,47.73,20.74,4.38,16.36,31.53,14.36,17.17,45033,26.8,36.55,16.26,12.45,5.32,1.7,0.92,6.21,0.19,0.05,0.14,6.02,2.74,3.28,93.79,2.49,0.4676,10.66,5.69,4.97,89.34,72.68,16.66
2018,1017,Chambers County,al,603.1137,98.91,1.09,33826,56.70166999999999,48.06,51.94,20.71,20.54,39.8,18.95,57.6,39.38,0.29,1.2,0.0,0.52,1.03,30.26,45.04,2.58,9.91,12.21,13516,64.06,42.27,21.8,5.8,16.0,35.94,15.28,20.66,13516,31.62,36.26,15.88,9.27,4.37,1.8,0.79,5.39,0.0,0.0,0.0,5.39,2.63,2.76,94.61,2.46,0.4568,8.24,3.99,4.25,91.76,72.11,19.65
2018,1019,Cherokee County,al,599.9764,92.26,7.74,25853,46.7061,49.59,50.41,20.45,17.11,40.7,21.74,92.82,4.9,0.91,0.21,0.0,0.35,0.8,19.81,59.12,1.89,7.63,11.55,10606,69.13,57.16,11.97,2.37,9.61,30.87,15.59,15.27,10606,28.27,37.4,14.91,11.74,5.62,1.59,0.47,3.11,0.0,0.0,0.0,3.11,1.92,1.19,96.89,2.41,0.4539,10.14,3.77,6.37,89.86,68.9,20.96
