FIPS,state,county,year,FIPS/Year,totalvotes,dem_vote_share,rep_vote_share,other_vote_share,winning_party,republican_minus_democratic
1001,Alabama,Autauga,2012,2012/01001,23932,0.265878322,0.726182517,0.007939161,Republican,0.460304195
1003,Alabama,Baldwin,2012,2012/01003,85338,0.215894443,0.773582695,0.010522862,Republican,0.557688251
1005,Alabama,Barbour,2012,2012/01005,11509,0.513684942,0.482231297,0.004083761,Democratic,-0.031453645
1007,Alabama,Bibb,2012,2012/01007,8420,0.26152019,0.728266033,0.010213777,Republican,0.466745843
1009,Alabama,Blount,2012,2012/01009,24006,0.12371907,0.864658835,0.011622094,Republican,0.740939765
1011,Alabama,Bullock,2012,2012/01011,5322,0.763059,0.235062007,0.001878993,Democratic,-0.527996994
1013,Alabama,Butler,2012,2012/01013,9496,0.460614996,0.535699242,0.003685762,Republican,0.075084246
1015,Alabama,Calhoun,2012,2012/01015,46257,0.335322222,0.654560391,0.010117388,Republican,0.319238169
1017,Alabama,Chambers,2012,2012/01017,14611,0.470262131,0.521935528,0.007802341,Republican,0.051673397
1019,Alabama,Cherokee,2012,2012/01019,9779,0.218018202,0.767563146,0.014418652,Republican,0.549544943
1021,Alabama,Chilton,2012,2012/01021,17462,0.194536708,0.797846753,0.007616539,Republican,0.603310045
1023,Alabama,Choctaw,2012,2012/01023,7968,0.475150602,0.521084337,0.00376506,Republican,0.045933735
1025,Alabama,Clarke,2012,2012/01025,13851,0.457295502,0.539311241,0.003393257,Republican,0.082015739
1027,Alabama,Clay,2012,2012/01027,6662,0.266736716,0.723056139,0.010207145,Republican,0.456319424
1029,Alabama,Cleburne,2012,2012/01029,6305,0.154004758,0.836161776,0.009833466,Republican,0.682157018
1031,Alabama,Coffee,2012,2012/01031,19770,0.24911482,0.741831057,0.009054122,Republican,0.492716237
1033,Alabama,Colbert,2012,2012/01033,23385,0.391960659,0.595937567,0.012101775,Republican,0.203976908
1035,Alabama,Conecuh,2012,2012/01035,7022,0.506266021,0.489746511,0.003987468,Democratic,-0.01651951
1037,Alabama,Coosa,2012,2012/01037,5269,0.41582843,0.578667679,0.005503891,Republican,0.162839248
1039,Alabama,Covington,2012,2012/01039,15423,0.204759126,0.787978992,0.007261882,Republican,0.583219866
1041,Alabama,Crenshaw,2012,2012/01041,6418,0.319414148,0.674820816,0.005765036,Republican,0.355406669
1043,Alabama,Cullman,2012,2012/01043,34457,0.146617523,0.841599675,0.011782802,Republican,0.694982152
1045,Alabama,Dale,2012,2012/01045,18557,0.284852077,0.706364175,0.008783747,Republican,0.421512098
1047,Alabama,Dallas,2012,2012/01047,20953,0.697370305,0.300100224,0.002529471,Democratic,-0.397270081
1049,Alabama,DeKalb,2012,2012/01049,23863,0.219544902,0.768176675,0.012278423,Republican,0.548631773
1051,Alabama,Elmore,2012,2012/01051,35485,0.252331971,0.739833733,0.007834296,Republican,0.487501761
1053,Alabama,Escambia,2012,2012/01053,14869,0.369157307,0.624588069,0.006254624,Republican,0.255430762
1055,Alabama,Etowah,2012,2012/01055,42530,0.301034564,0.684928286,0.01403715,Republican,0.383893722
1057,Alabama,Fayette,2012,2012/01057,7946,0.228668512,0.761892776,0.009438711,Republican,0.533224264
1059,Alabama,Franklin,2012,2012/01059,10859,0.292015839,0.69684133,0.011142831,Republican,0.40482549
1061,Alabama,Geneva,2012,2012/01061,11320,0.180123675,0.810512367,0.009363958,Republican,0.630388693
1063,Alabama,Greene,2012,2012/01063,5340,0.846629213,0.150561798,0.002808989,Democratic,-0.696067416
1065,Alabama,Hale,2012,2012/01065,8643,0.626055768,0.37139882,0.002545412,Democratic,-0.254656948
1067,Alabama,Henry,2012,2012/01067,8760,0.351940639,0.642465753,0.005593607,Republican,0.290525114
1069,Alabama,Houston,2012,2012/01069,41918,0.295028389,0.698268047,0.006703564,Republican,0.403239658
1071,Alabama,Jackson,2012,2012/01071,20577,0.28293726,0.701705788,0.015356952,Republican,0.418768528
1073,Alabama,Jefferson,2012,2012/01073,303918,0.52604979,0.466188248,0.007761962,Democratic,-0.059861542
1075,Alabama,Lamar,2012,2012/01075,7166,0.229695786,0.761512699,0.008791515,Republican,0.531816913
1077,Alabama,Lauderdale,2012,2012/01077,36924,0.338831113,0.647573394,0.013595493,Republican,0.308742281
1079,Alabama,Lawrence,2012,2012/01079,14112,0.359197846,0.628826531,0.011975624,Republican,0.269628685
1081,Alabama,Lee,2012,2012/01081,54359,0.393329531,0.592247834,0.014422635,Republican,0.198918302
1083,Alabama,Limestone,2012,2012/01083,35459,0.277193378,0.713359091,0.009447531,Republican,0.436165713
1085,Alabama,Lowndes,2012,2012/01085,7521,0.764127111,0.23347959,0.002393299,Democratic,-0.53064752
1087,Alabama,Macon,2012,2012/01087,10394,0.870213585,0.128054647,0.001731768,Democratic,-0.742158938
1089,Alabama,Madison,2012,2012/01089,155059,0.399944537,0.586125281,0.013930181,Republican,0.186180744
1091,Alabama,Marengo,2012,2012/01091,11537,0.534541042,0.462511918,0.00294704,Democratic,-0.072029124
1093,Alabama,Marion,2012,2012/01093,12105,0.185790995,0.801073936,0.013135068,Republican,0.615282941
1095,Alabama,Marshall,2012,2012/01095,32566,0.193422588,0.794294663,0.012282749,Republican,0.600872075
1097,Alabama,Mobile,2012,2012/01097,174864,0.450407174,0.542667444,0.006925382,Republican,0.092260271
1099,Alabama,Monroe,2012,2012/01099,10708,0.458909227,0.536141203,0.00494957,Republican,0.077231976
1101,Alabama,Montgomery,2012,2012/01101,101924,0.618941564,0.376084141,0.004974295,Democratic,-0.242857423
1103,Alabama,Morgan,2012,2012/01103,49323,0.272469233,0.71753543,0.009995337,Republican,0.445066196
1105,Alabama,Perry,2012,2012/01105,6099,0.748975242,0.246925726,0.004099033,Democratic,-0.502049516
1107,Alabama,Pickens,2012,2012/01107,9611,0.46353137,0.533139111,0.003329518,Republican,0.069607741
1109,Alabama,Pike,2012,2012/01109,14107,0.427801801,0.564471539,0.007726661,Republican,0.136669738
1111,Alabama,Randolph,2012,2012/01111,10398,0.296018465,0.69474899,0.009232545,Republican,0.398730525
1113,Alabama,Russell,2012,2012/01113,18879,0.556173526,0.438476614,0.00534986,Democratic,-0.117696912
1115,Alabama,St. Clair,2012,2012/01115,35148,0.165044953,0.825964493,0.008990554,Republican,0.66091954
1117,Alabama,Shelby,2012,2012/01117,92507,0.216751165,0.772222643,0.011026193,Republican,0.555471478
