FIPS,state,county,year,FIPS/Year,totalvotes,dem_vote_share,rep_vote_share,other_vote_share,winning_party,republican_minus_democratic
1001,Alabama,Autauga,2016,2016/01001,24973,0.237696712,0.727665879,0.034637408,Republican,0.489969167
1003,Alabama,Baldwin,2016,2016/01003,95215,0.19385601,0.765457123,0.040686867,Republican,0.571601113
1005,Alabama,Barbour,2016,2016/01005,10469,0.465278441,0.520966663,0.013754895,Republican,0.055688222
1007,Alabama,Bibb,2016,2016/01007,8819,0.212495748,0.764032203,0.023472049,Republican,0.551536455
1009,Alabama,Blount,2016,2016/01009,25588,0.084258246,0.893348445,0.022393309,Republican,0.809090199
1011,Alabama,Bullock,2016,2016/01011,4710,0.749469214,0.242038217,0.008492569,Democratic,-0.507430998
1013,Alabama,Butler,2016,2016/01013,8732,0.426706367,0.561268896,0.012024737,Republican,0.134562529
1015,Alabama,Calhoun,2016,2016/01015,47864,0.276658867,0.68663296,0.036708173,Republican,0.409974093
1017,Alabama,Chambers,2016,2016/01017,13900,0.416115108,0.564244604,0.019640288,Republican,0.148129496
1019,Alabama,Cherokee,2016,2016/01019,10733,0.144134911,0.83415634,0.021708749,Republican,0.690021429
1021,Alabama,Chilton,2016,2016/01021,18369,0.158473515,0.821002776,0.020523708,Republican,0.662529261
1023,Alabama,Choctaw,2016,2016/01023,7292,0.426357652,0.56308283,0.010559517,Republican,0.136725178
1025,Alabama,Clarke,2016,2016/01025,13031,0.441178728,0.547924181,0.010897092,Republican,0.106745453
1027,Alabama,Clay,2016,2016/01027,6624,0.186745169,0.791817633,0.021437198,Republican,0.605072464
1029,Alabama,Cleburne,2016,2016/01029,6593,0.103746398,0.874260579,0.021993023,Republican,0.770514182
1031,Alabama,Coffee,2016,2016/01031,20767,0.203255164,0.764433958,0.032310878,Republican,0.561178793
1033,Alabama,Colbert,2016,2016/01033,24915,0.293477825,0.672125226,0.03439695,Republican,0.378647401
1035,Alabama,Conecuh,2016,2016/01035,6585,0.467729689,0.519362187,0.012908125,Republican,0.051632498
1037,Alabama,Coosa,2016,2016/01037,5252,0.339299315,0.64375476,0.016945925,Republican,0.304455446
1039,Alabama,Covington,2016,2016/01039,15940,0.149749059,0.832308657,0.017942284,Republican,0.682559598
1041,Alabama,Crenshaw,2016,2016/01041,6267,0.265517792,0.72012127,0.014360938,Republican,0.454603479
1043,Alabama,Cullman,2016,2016/01043,37873,0.100282523,0.871042695,0.028674782,Republican,0.770760172
1045,Alabama,Dale,2016,2016/01045,18749,0.235372553,0.736465945,0.028161502,Republican,0.501093392
