GEO_ID,NAME,DP03_0062E,DP03_0062M,DP03_0062PE,DP03_0062PM,DP03_0063E,DP03_0063M,DP03_0063PE,DP03_0063PM
id,Geographic Area Name,Estimate!!INCOME AND BENEFITS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Total households!!Median household income (dollars),Margin of Error!!INCOME AND BENEFITS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Total households!!Median household income (dollars),Percent Estimate!!INCOME AND BENEFITS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Total households!!Median household income (dollars),Percent Margin of Error!!INCOME AND BENEFITS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Total households!!Median household income (dollars),Estimate!!INCOME AND BENEFITS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Total households!!Mean household income (dollars),Margin of Error!!INCOME AND BENEFITS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Total households!!Mean household income (dollars),Percent Estimate!!INCOME AND BENEFITS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Total households!!Mean household income (dollars),Percent Margin of Error!!INCOME AND BENEFITS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Total households!!Mean household income (dollars)
0500000US01001,"Autauga County, Alabama",58786,2972,(X),(X),75515,6810,(X),(X)
0500000US01003,"Baldwin County, Alabama",55962,1204,(X),(X),77212,1732,(X),(X)
0500000US01005,"Barbour County, Alabama",34186,2552,(X),(X),47909,2220,(X),(X)
0500000US01007,"Bibb County, Alabama",45340,5618,(X),(X),58529,4043,(X),(X)
0500000US01009,"Blount County, Alabama",48695,2703,(X),(X),60646,2567,(X),(X)
0500000US01011,"Bullock County, Alabama",32152,10285,(X),(X),45516,6022,(X),(X)
0500000US01013,"Butler County, Alabama",39109,2026,(X),(X),52630,3285,(X),(X)
0500000US01015,"Calhoun County, Alabama",45197,1578,(X),(X),61653,2172,(X),(X)
0500000US01017,"Chambers County, Alabama",39872,2347,(X),(X),53553,3613,(X),(X)
0500000US01019,"Cherokee County, Alabama",41014,1931,(X),(X),55611,3533,(X),(X)
0500000US01021,"Chilton County, Alabama",45182,3184,(X),(X),62771,4644,(X),(X)
0500000US01023,"Choctaw County, Alabama",34884,2927,(X),(X),52247,3593,(X),(X)
0500000US01025,"Clarke County, Alabama",36127,4237,(X),(X),51892,3475,(X),(X)
0500000US01027,"Clay County, Alabama",41225,4334,(X),(X),56739,5041,(X),(X)
0500000US01029,"Cleburne County, Alabama",40188,4625,(X),(X),54871,4661,(X),(X)
0500000US01031,"Coffee County, Alabama",53155,2474,(X),(X),69305,2466,(X),(X)
0500000US01033,"Colbert County, Alabama",47558,2607,(X),(X),59835,2618,(X),(X)
0500000US01035,"Conecuh County, Alabama",33177,2481,(X),(X),41773,3214,(X),(X)
0500000US01037,"Coosa County, Alabama",38301,3436,(X),(X),55936,7431,(X),(X)
0500000US01039,"Covington County, Alabama",40601,1923,(X),(X),55315,1974,(X),(X)
0500000US01041,"Crenshaw County, Alabama",39812,2817,(X),(X),58669,6758,(X),(X)
