FIPS,County Name,State,Size,Pop 2012,Pop 2013,Pop 2014,Pop 2015,GDP 2012,GDP 2013,GDP 2014,GDP 2015,GDP/capita 2012,GDP/capita 2013,GDP/capita 2014,GDP/capita 2015,% Change (2012-2015),% Change (2014-2015),Add Zero FIPS
06037,Los Angeles,CA,Large,9956152,10018604,10072695,10123248,593671075,617139519,654038890,691948578,59628.56684,61599.35246,64931.86679,68352.4278,14.6%,5.3%,06037
17031,Cook,IL,Large,5237174,5250498,5253756,5245831,352175982,357645409,367251284,382626329,67245.4232,68116.47371,69902.6152,72939.12614,8.5%,4.3%,017031
48201,Harris,TX,Large,4262689,4353517,4452695,4551362,377095884,395892886,402388140,395784448,88464.32006,90936.3363,90369.57169,86959.56242999999,-1.7%,-3.8%,048201
04013,Maricopa,AZ,Large,3939776,4006307,4076708,4154076,191057142,197090923,204933478,215381372,48494.41745,49195.162280000004,50269.3541,51848.2021,6.9%,3.1%,04013
06073,San Diego,CA,Large,3179798,3216522,3256875,3290044,191216801,199478489,206197873,214056241,60134.88939,62016.82717999999,63311.57106,65061.81711,8.2%,2.8%,06073
06059,Orange,CA,Large,3085386,3113649,3136750,3160576,216205203,224136032,236013076,260660422,70073.95606,71985.00281,75241.27712,82472.44236,17.7%,9.6%,06059
12086,Miami-Dade,FL,Large,2607800,2643934,2674754,2705982,111586915,122052488,133312487,141734334,42789.67521,46163.21285,49841.02725,52378.15107,22.4%,5.1%,012086
36047,Kings,NY,Large,2579267,2605783,2626644,2643546,59716251,61603353,65748703,68430708,23152.411519999998,23641.01424,25031.44811,25885.95319,11.8%,3.4%,036047
48113,Dallas,TX,Large,2454781,2483807,2517417,2554233,227714939,235032158,242820611,245923071,92763.85102999999,94625.77326,96456.25297999999,96280.59421,3.8%,-0.2%,048113
06065,Riverside,CA,Large,2264804,2291406,2321738,2352080,61827909,66138161,68883179,71921762,27299.4524,28863.571539999997,29668.799410000003,30577.94038,12.0%,3.1%,06065
36081,Queens,NY,Large,2284413,2307766,2328004,2346005,70002804,72459247,77202197,80822563,30643.672580000002,31398.00439,33162.39878,34451.14695,12.4%,3.9%,036081
06071,San Bernardino,CA,Large,2076601,2086732,2104038,2120794,63540956,66250255,70152496,74457899,30598.538669999998,31748.32945,33341.83888,35108.501339999995,14.7%,5.3%,06071
