FIPS,Median Household income 2012,Median Household income 2016,Median Household income 2018
27013,67849.0,53869.0,58616.0
27019,103742.0,92455.0,100324.0
27037,87157.0,78662.0,86302.0
27053,88229.0,71200.0,76052.0
27109,80026.0,72428.0,75327.0
27123,71014.0,60369.0,62919.0
27137,58735.0,49825.0,53550.0
27139,102131.0,88765.0,100963.0
27141,77814.0,83675.0,80643.0
27145,67112.0,57728.0,60669.0
27163,99036.0,90256.0,95124.0
27171,83753.0,74190.0,88359.0
28033,67338.0,64505.0,68385.0
28035,44620.0,37275.0,38837.0
28047,55417.0,42770.0,45042.0
28049,54478.0,43657.0,45459.0
28059,65900.0,54606.0,50546.0
28067,51740.0,43350.0,49393.0
28075,48480.0,42364.0,37971.0
28081,55697.0,42235.0,53062.0
28089,89903.0,64350.0,75992.0
28121,68929.0,62332.0,66480.0
29019,67956.0,52752.0,54356.0
29021,53223.0,48550.0,55020.0
29031,59307.0,50223.0,49844.0
29037,67294.0,63420.0,71114.0
29043,62727.0,53172.0,56717.0
29047,71520.0,65430.0,68269.0
29051,63116.0,55303.0,63568.0
29071,61884.0,55359.0,58209.0
29077,53573.0,42062.0,43771.0
29095,60452.0,50815.0,55929.0
29097,51432.0,45786.0,46617.0
29099,62562.0,61559.0,65246.0
29165,84537.0,77581.0,80468.0
29183,82616.0,80644.0,81663.0
29187,44515.0,45431.0,46796.0
29189,80750.0,62572.0,66778.0
29510,49814.0,40346.0,43889.0
30013,55354.0,45138.0,49948.0
30029,64227.0,50142.0,53193.0
30031,76820.0,61211.0,68266.0
30063,60109.0,46550.0,56598.0
30111,63976.0,57945.0,60079.0
31055,68924.0,58990.0,64390.0
31109,66222.0,58845.0,57650.0
31153,78662.0,73569.0,77941.0
32003,66429.0,54384.0,57076.0
32031,66569.0,58175.0,63310.0
33005,70524.0,56364.0,59186.0
33009,74276.0,61520.0,66358.0
33011,86819.0,76254.0,78978.0
33013,74794.0,69505.0,75088.0
33015,93418.0,81726.0,95160.0
33017,67703.0,71295.0,71528.0
34001,66938.0,56778.0,61212.0
34003,112870.0,93683.0,100361.0
34005,95820.0,80254.0,84889.0
34007,78729.0,66362.0,67523.0
34009,73741.0,62548.0,67007.0
34011,61662.0,49110.0,52795.0
34013,82574.0,54277.0,63368.0
34015,88220.0,79879.0,81849.0
34017,81426.0,63808.0,74414.0
34019,137727.0,113684.0,111269.0
34021,99659.0,77650.0,80632.0
34023,95302.0,82375.0,88217.0
34025,108046.0,90226.0,99642.0
34027,126794.0,106985.0,112288.0
34029,75982.0,62222.0,68551.0
34031,79215.0,62016.0,75259.0
34033,71189.0,53662.0,65733.0
34035,126573.0,104478.0,121378.0
34037,97071.0,87829.0,92818.0
34039,92592.0,72028.0,82186.0
34041,79886.0,74867.0,77452.0
35001,62817.0,50601.0,51208.0
35005,59171.0,40960.0,43941.0
35013,51176.0,37496.0,35262.0
35025,68101.0,55636.0,50871.0
35031,42075.0,31526.0,34080.0
35035,51886.0,43646.0,42591.0
35043,70939.0,57158.0,54338.0
35045,62133.0,52003.0,44841.0
35049,71027.0,57863.0,60193.0
35061,50155.0,43700.0,46493.0
36001,74377.0,61754.0,64435.0
36005,47632.0,37525.0,38467.0
36007,59880.0,50463.0,51125.0
36009,51903.0,46842.0,48179.0
36011,59892.0,54995.0,52376.0
36013,55368.0,42204.0,45479.0
36015,56838.0,51269.0,53005.0
36019,65864.0,55316.0,56704.0
