FIPS,Median Household income 2012,Median Household income 2016,Median Household income 2018,Median household income 2010,Household Median Income
27019,103742.0,92455.0,100324.0,80173.0,97895
27037,87157.0,78662.0,86302.0,69508.0,83288
27053,88229.0,71200.0,76052.0,59236.0,74113
27109,80026.0,72428.0,75327.0,60721.0,74880
27123,71014.0,60369.0,62919.0,50136.0,62304
27137,58735.0,49825.0,53550.0,41801.0,53344
27139,102131.0,88765.0,100963.0,77314.0,97744
27141,77814.0,83675.0,80643.0,69971.0,85818
27145,67112.0,57728.0,60669.0,50150.0,60606
27163,99036.0,90256.0,95124.0,77239.0,92376
27171,83753.0,74190.0,88359.0,66833.0,81881
28033,67338.0,64505.0,68385.0,60385.0,65169
28035,44620.0,37275.0,38837.0,31327.0,40675
28047,55417.0,42770.0,45042.0,41970.0,45566
28049,54478.0,43657.0,45459.0,37358.0,43005
28059,65900.0,54606.0,50546.0,44951.0,51142
28067,51740.0,43350.0,49393.0,35913.0,41263
28075,48480.0,42364.0,37971.0,31334.0,41704
28081,55697.0,42235.0,53062.0,41260.0,47978
28089,89903.0,64350.0,75992.0,55362.0,71690
28121,68929.0,62332.0,66480.0,49293.0,64557
29019,67956.0,52752.0,54356.0,41006.0,54043
29021,53223.0,48550.0,55020.0,41647.0,50457
29031,59307.0,50223.0,49844.0,44589.0,51730
29037,67294.0,63420.0,71114.0,57100.0,67659
29043,62727.0,53172.0,56717.0,47671.0,57019
29047,71520.0,65430.0,68269.0,54884.0,68367
29051,63116.0,55303.0,63568.0,53080.0,57587
29071,61884.0,55359.0,58209.0,42905.0,55312
29077,53573.0,42062.0,43771.0,37203.0,44808
29095,60452.0,50815.0,55929.0,44502.0,52805
29097,51432.0,45786.0,46617.0,37560.0,46929
29099,62562.0,61559.0,65246.0,52627.0,63030
29165,84537.0,77581.0,80468.0,67221.0,76912
29183,82616.0,80644.0,81663.0,64608.0,81411
29187,44515.0,45431.0,46796.0,33428.0,45774
29189,80750.0,62572.0,66778.0,55110.0,65300
29510,49814.0,40346.0,43889.0,32688.0,41107
30013,55354.0,45138.0,49948.0,41871.0,48160
30029,64227.0,50142.0,53193.0,41854.0,52966
30031,76820.0,61211.0,68266.0,49506.0,61499
30063,60109.0,46550.0,56598.0,45596.0,51270
30111,63976.0,57945.0,60079.0,48153.0,59117
31055,68924.0,58990.0,64390.0,50038.0,61688
31109,66222.0,58845.0,57650.0,50031.0,58009
31153,78662.0,73569.0,77941.0,69538.0,79549
32003,66429.0,54384.0,57076.0,51437.0,56802
32031,66569.0,58175.0,63310.0,50556.0,61155
33005,70524.0,56364.0,59186.0,48030.0,63057
33009,74276.0,61520.0,66358.0,50738.0,63153
33011,86819.0,76254.0,78978.0,68312.0,78655
33013,74794.0,69505.0,75088.0,61310.0,72478
33015,93418.0,81726.0,95160.0,73925.0,90429
33017,67703.0,71295.0,71528.0,52212.0,70650
34001,66938.0,56778.0,61212.0,52571.0,59989
34003,112870.0,93683.0,100361.0,77389.0,95837
34005,95820.0,80254.0,84889.0,74329.0,84992
34007,78729.0,66362.0,67523.0,57352.0,67118
34009,73741.0,62548.0,67007.0,53392.0,63690
34011,61662.0,49110.0,52795.0,51619.0,52593
34013,82574.0,54277.0,63368.0,52394.0,59302
34015,88220.0,79879.0,81849.0,70514.0,85160
34017,81426.0,63808.0,74414.0,54817.0,66289
34019,137727.0,113684.0,111269.0,97874.0,112535
34021,99659.0,77650.0,80632.0,70956.0,79990
34023,95302.0,82375.0,88217.0,76443.0,85954
34025,108046.0,90226.0,99642.0,80816.0,95699
34027,126794.0,106985.0,112288.0,91469.0,111316
34029,75982.0,62222.0,68551.0,57128.0,68021
34031,79215.0,62016.0,75259.0,53993.0,66476
34033,71189.0,53662.0,65733.0,56357.0,64309
34035,126573.0,104478.0,121378.0,94270.0,111772
34037,97071.0,87829.0,92818.0,84115.0,90520
34039,92592.0,72028.0,82186.0,66665.0,77095
34041,79886.0,74867.0,77452.0,71832.0,78145
35001,62817.0,50601.0,51208.0,47624.0,51643
35005,59171.0,40960.0,43941.0,34325.0,43197
35013,51176.0,37496.0,35262.0,35230.0,39164
35031,42075.0,31526.0,34080.0,29369.0,31674
35043,70939.0,57158.0,54338.0,51959.0,59420
35045,62133.0,52003.0,44841.0,45127.0,50582
35049,71027.0,57863.0,60193.0,47080.0,59192
35061,50155.0,43700.0,46493.0,39241.0,45084
36001,74377.0,61754.0,64435.0,53965.0,64535
36005,47632.0,37525.0,38467.0,32568.0,38085
36007,59880.0,50463.0,51125.0,44473.0,50859
36009,51903.0,46842.0,48179.0,41578.0,47240
36011,59892.0,54995.0,52376.0,49136.0,56579
36013,55368.0,42204.0,45479.0,40443.0,45332
36015,56838.0,51269.0,53005.0,47643.0,53299
36019,65864.0,55316.0,56704.0,43600.0,55178
36027,86119.0,74115.0,80227.0,69613.0,78028
36029,64913.0,54246.0,56369.0,46816.0,55673
36045,57548.0,45624.0,53146.0,43557.0,52268
36047,65085.0,55150.0,61220.0,42143.0,56015
36051,60569.0,53121.0,61609.0,50640.0,56071
36053,63863.0,60630.0,59678.0,53006.0,60228
36055,67257.0,54492.0,60222.0,49532.0,57479
36059,119872.0,105870.0,116304.0,91104.0,111240
36061,124399.0,77559.0,85066.0,63832.0,82459
36063,61475.0,50233.0,55306.0,43991.0,54085
36065,62188.0,52996.0,54593.0,47286.0,53844
36067,67865.0,56991.0,59883.0,50426.0,59225
36069,64688.0,57448.0,62522.0,53567.0,63359
36071,85783.0,73025.0,75825.0,65891.0,76716
36075,59267.0,53562.0,54264.0,44643.0,53597
36079,116121.0,96992.0,102525.0,81233.0,102186
36081,70204.0,62207.0,69320.0,53054.0,64987
36083,73716.0,65965.0,71648.0,51653.0,65851
36085,83898.0,77197.0,82166.0,70560.0,79267
36087,103787.0,85515.0,89812.0,84027.0,91108
36089,58920.0,51592.0,49681.0,40163.0,49305
36091,84392.0,76097.0,83765.0,66212.0,80839
36093,70181.0,58331.0,64847.0,52331.0,63785
36101,58242.0,50575.0,55569.0,45995.0,51789
36103,106475.0,92933.0,100468.0,81551.0,96675
36105,60693.0,50652.0,52274.0,43578.0,56256
36109,75467.0,56349.0,57276.0,52064.0,58743
36111,77105.0,62790.0,63889.0,51301.0,63348
36113,68206.0,58061.0,56482.0,52715.0,59813
36117,60788.0,59538.0,61515.0,50363.0,55765
36119,124503.0,89709.0,94811.0,77415.0,92758
37001,54320.0,45100.0,49979.0,41058.0,45735
37019,65991.0,50692.0,60496.0,43884.0,54406
37021,60551.0,50685.0,53980.0,43241.0,50668
37023,49340.0,40345.0,43663.0,38131.0,42516
37025,71425.0,63386.0,69679.0,48666.0,64174
37027,41876.0,36301.0,42257.0,36050.0,42072
37031,64635.0,51206.0,54833.0,40614.0,54428
37035,56416.0,48913.0,53454.0,41244.0,51157
37045,45353.0,36992.0,40690.0,38282.0,40393
37049,58734.0,49938.0,50509.0,40218.0,50870
37051,55445.0,45205.0,46716.0,43205.0,45716
37057,54963.0,45678.0,45320.0,39660.0,47271
37063,71556.0,53832.0,58073.0,47401.0,58190
37067,64044.0,48271.0,49166.0,43537.0,50128
37071,55075.0,48711.0,52741.0,39054.0,49384
37081,60527.0,47262.0,51803.0,42090.0,51072
37085,56571.0,51637.0,51022.0,39584.0,51630
37089,53963.0,54963.0,53706.0,43105.0,52815
37097,65577.0,55891.0,59341.0,45714.0,58198
37101,56609.0,54719.0,60132.0,45988.0,56842
37109,60870.0,49453.0,63782.0,42456.0,53318
37119,80758.0,62978.0,63967.0,52188.0,64312
