FIPS,Household Median Income,Margin of Error
01001,58786,2972
01003,55962,1204
01005,34186,2552
01007,45340,5618
01009,48695,2703
01011,32152,10285
01013,39109,2026
01015,45197,1578
01017,39872,2347
01019,41014,1931
01021,45182,3184
01023,34884,2927
01025,36127,4237
01027,41225,4334
01029,40188,4625
01031,53155,2474
01033,47558,2607
01035,33177,2481
01037,38301,3436
01039,40601,1923
01041,39812,2817
01043,42558,1523
01045,45960,2816
01047,31602,1447
01049,39233,2081
01051,59347,2721
01053,35000,3118
01055,44023,1776
01057,37458,3109
01059,40459,2822
01061,38142,3168
01063,21804,4672
01065,30571,4241
01067,48610,3806
01069,45496,941
01071,39816,1602
01073,51979,687
01075,36756,2887
01077,46265,1490
01079,44515,2491
01081,48056,1506
01083,56460,3118
01085,30833,3373
01087,32074,2430
01089,63417,1447
01091,32809,3613
01093,35392,3171
01095,42490,1703
01097,46166,1129
01099,30141,4709
01101,47990,1315
01103,49751,2001
01105,23561,2573
01107,37458,3062
01109,34678,3262
01111,41449,3941
01113,40978,2192
01115,54887,2057
01117,75761,1348
01119,23132,2361
01121,41012,1513
01123,43361,3489
01125,52221,1240
01127,41748,1803
01129,40794,3442
01131,27237,4033
01133,38504,3600
02013,69706,4788
02016,85517,3718
02020,83280,1770
02050,54212,2972
02060,84688,10676
02068,84196,7160
02070,58750,4339
02090,77095,2705
02100,64342,19415
02105,63603,6054
02110,88213,3956
02122,66684,2674
02130,70356,3342
02150,78281,9886
02158,35539,3260
02164,46406,5186
02170,75905,1736
02180,58987,3166
02185,75431,13210
02188,62949,3677
02195,66907,2820
02198,54191,2561
02220,71534,4048
02230,72237,5731
02240,71541,6871
02261,82306,5784
02275,57583,7200
02282,65833,9645
02290,40000,2340
04001,32963,1614
04003,48649,1372
04005,57616,1629
04007,42092,1810
04009,51352,2134
04011,60962,3549
04012,33333,5547
04013,61606,305
04015,43266,1301
04017,40054,1508
04019,51037,502
04021,55550,944
04023,40467,2823
04025,50180,1188
04027,44058,1027
05001,39466,2862
05003,39635,2381
05005,41481,1723
05007,64141,973
05009,43262,1685
05011,39510,1964
05013,44022,5407
05015,43505,2576
05017,33051,2405
05019,39752,3177
05021,33935,3014
05023,43391,3877
05025,42460,5180
05027,36148,2798
05029,41196,3290
05031,45868,1769
05033,46619,1940
05035,39002,3326
05037,43838,3033
05039,36628,4304
05041,30234,3199
05043,43014,6583
05045,51930,2657
05047,39463,2378
05049,36184,3839
05051,43146,1686
05053,51920,3608
05055,47497,2882
05057,41355,3621
05059,41262,1831
05061,35900,4446
05063,43523,2344
05065,40218,3817
05067,33174,2693
05069,38289,2040
05071,37170,1845
05073,32412,3163
05075,38528,2394
05077,28367,5453
05079,45166,10567
05081,45388,4435
05083,39748,2062
05085,57509,2386
05087,43891,3623
05089,35518,3067
05091,41903,1899
05093,37237,1966
05095,35190,6580
05097,37855,4283
05099,37635,4786
05101,39896,6153
05103,34887,2524
05105,46071,6434
05107,29263,3332
05109,37406,4126
05111,39277,2374
05113,37035,1890
05115,41914,2119
05117,41846,2815
05119,50093,1057
05121,36870,2599
05123,35356,2573
05125,62152,2102
05127,35509,4950
05129,36390,3678
05131,43240,1558
05133,46667,3229
05135,33708,3260
05137,36162,3184
05139,44000,2866
05141,36897,2259
05143,49629,1197
05145,43822,2407
05147,31023,3645
05149,42361,2804
06001,92574,1023
06003,64688,12933
06005,61198,3241
06007,48443,1477
06009,58151,3310
06011,56704,4501
06013,93712,926
06015,45258,5035
06017,80582,2117
06019,51261,808
06021,47395,3209
06023,45528,1359
06025,45834,1861
06027,52874,3230
06029,52479,729
06031,53865,2352
06033,42475,2511
06035,56362,1943
06037,64251,247
06039,52884,1923
06041,110217,3332
06043,51199,3487
06045,49233,2356
06047,50129,1671
06049,45149,5555
06051,63018,5826
06053,66676,1234
06055,84753,2198
06057,63240,1916
06059,85398,719
06061,84357,1469
06063,53270,3391
06065,63948,454
06067,63902,512
06069,81977,4226
06071,60164,626
06073,74855,578
06075,104552,1533
06077,61145,1022
06079,70699,1500
06081,113776,1672
06083,71657,1476
06085,116178,938
06087,78041,1462
06089,50905,1445
06091,48125,7465
06093,44200,2158
06095,77609,1309
06097,76753,1039
06099,57387,1316
06101,56955,2206
06103,42899,2347
06105,38497,4689
06107,47518,1141
06109,56493,3992
06111,84017,1199
06113,65923,2023
06115,52624,2827
08001,67575,991
08003,39191,4112
08005,73925,902
08007,50753,5030
08009,37500,2954
08011,34392,6115
08013,78642,1583
08014,89624,4013
08015,54580,3158
08017,55227,5083
08019,69936,4503
08021,34746,3572
08023,30593,3298
08025,37586,5569
08027,44644,9674
08029,44512,3534
08031,63793,757
08033,41714,7892
08035,115314,2028
08037,84685,4478
08039,96658,4279
08041,65334,786
08043,46296,2175
08045,72898,3801
08047,75120,6107
08049,70469,6695
08051,54979,3938
08053,52188,11724
08055,36705,3945
08057,48828,8122
08059,78943,1142
08061,39784,3824
08063,51046,4399
08065,46918,4775
08067,64372,2658
08069,67664,1346
08071,41945,3628
08073,49423,6527
08075,48922,4300
08077,53683,1202
08079,61058,4934
08081,52807,6292
08083,46797,4106
08085,48739,2573
08087,51626,2649
08089,34136,2884
08091,62230,7410
08093,66861,6419
08095,50724,6930
08097,71244,5939
08099,40097,2720
08101,44634,1315
08103,55543,4275
08105,38639,2097
08107,74273,3839
08109,34410,5288
08111,46563,9920
08113,64478,4771
08115,45188,6445
08117,77589,4772
08119,65382,5275
08121,49375,4796
08123,70908,1339
08125,48394,3103
09001,92969,1158
09003,72321,966
09005,78314,1991
09007,84761,2066
09009,67128,912
09011,71368,1434
09013,84916,1844
09015,64774,1681
10001,58775,1756
10003,70996,1098
10005,60853,1224
11001,82604,1081
12001,49078,1416
12003,61769,5722
12005,51829,1358
12007,46197,5603
12009,54359,842
12011,57333,578
12013,38609,2264
12015,49225,979
12017,41424,1281
12019,62653,2097
12021,65675,1598
12023,44491,3128
12027,35057,2284
12029,38237,2882
12031,53473,609
12033,49286,974
12035,53872,1465
12037,42855,5298
12039,40922,2788
12041,42357,3068
12043,39879,2947
12045,44291,4298
12047,34583,5887
12049,37594,3486
12051,40728,2333
12053,46030,925
12055,37314,1444
12057,56137,604
12059,38608,3326
12061,52336,1202
12063,39002,2199
12065,48173,8083
12067,39543,12393
12069,51884,1233
12071,54691,759
12073,51201,978
12075,37634,1760
12077,37363,4408
12079,35509,2374
12081,56036,1101
12083,43361,929
12085,57959,1925
12086,48982,492
12087,67023,2323
12089,66297,2668
12091,62048,1837
12093,40367,2024
12095,54335,575
12097,50063,1465
12099,59943,632
12101,50417,868
12103,51454,539
12105,48500,709
12107,35649,1475
12109,77323,2318
12111,49373,1326
12113,66242,2140
12115,58644,1090
12117,63760,1153
12119,55228,2011
12121,42686,4513
12123,36934,5018
12125,41770,2853
12127,46760,849
12129,62778,2792
12131,53785,2765
12133,37188,3125
13001,39561,4417
13003,34877,2829
13005,36964,5201
13007,37188,11467
13009,39426,2595
13011,45373,3513
13013,57348,2073
13015,55452,2276
13017,32705,2957
13019,37163,3951
13021,39931,1562
13023,45029,5887
13025,37031,4019
13027,34322,5782
13029,71322,6076
13031,41789,1849
