id,FIPS,Mean household income (dollars),Margin of Error!!INCOME AND BENEFITS (IN 2012 INFLATION-ADJUSTED DOLLARS)!!Median household income (dollars),Margin of Error!!INCOME AND BENEFITS (IN 2012 INFLATION-ADJUSTED DOLLARS)!!Mean household income (dollars),Mean earnings (dollars),With earnings!!Mean earnings (dollars)
0500000US,27013,67849,3330,6211,66778,6887
0500000US,27019,103742,4677,6052,103904,6353
0500000US,27037,87157,2052,2677,87865,2785
0500000US,27053,88229,1504,1807,90969,2004
0500000US,27109,80026,4036,2954,80072,3493
0500000US,27123,71014,2320,1804,71688,2151
0500000US,27137,58735,2117,2224,59577,2844
0500000US,27139,102131,6090,5686,105538,6180
0500000US,27141,77814,3529,4491,77049,4876
0500000US,27145,67112,3906,2823,66702,3023
0500000US,27163,99036,2872,3989,99695,4507
0500000US,27171,83753,3655,5514,86052,5973
0500000US,28033,67338,2814,2682,68858,3110
0500000US,28035,44620,3213,4136,43841,4604
0500000US,28047,55417,3196,3735,54539,4091
0500000US,28049,54478,2089,4028,56880,5085
0500000US,28059,65900,4855,5705,68438,7242
0500000US,28067,51740,3582,5784,57036,8165
0500000US,28075,48480,4444,3784,48641,4860
0500000US,28081,55697,2456,5410,53451,4534
0500000US,28089,89903,6681,8132,93597,9520
0500000US,28121,68929,3729,3522,68786,4344
0500000US,29019,67956,4629,5247,68449,6165
0500000US,29021,53223,3530,3204,53716,3705
0500000US,29031,59307,2305,6632,59872,7009
0500000US,29037,67294,3793,3819,65782,4392
0500000US,29043,62727,2811,4334,63834,5524
0500000US,29047,71520,4038,3206,72055,3959
0500000US,29051,63116,3510,4947,60764,5004
0500000US,29071,61884,3070,6063,61123,6597
0500000US,29077,53573,2026,2652,49788,2220
0500000US,29095,60452,1619,1695,63231,1966
0500000US,29097,51432,2532,5418,54580,6940
0500000US,29099,62562,2220,2140,62236,2756
0500000US,29165,84537,4763,4856,85235,5708
0500000US,29183,82616,2120,2301,84412,2774
0500000US,29187,44515,3554,3896,46585,4294
0500000US,29189,80750,1327,1983,82073,2207
0500000US,29510,49814,1137,2168,55245,2522
0500000US,30013,55354,4769,3978,53924,4472
0500000US,30029,64227,3848,9187,54046,4420
0500000US,30031,76820,4542,9455,62751,4342
0500000US,30063,60109,3762,4180,54634,3794
0500000US,30111,63976,2869,3528,64966,3944
0500000US,31055,68924,1049,1530,69855,1696
0500000US,31109,66222,1787,2308,66037,2478
0500000US,31153,78662,3847,2909,75249,3051
0500000US,32003,66429,874,1534,64232,1328
0500000US,32031,66569,1865,2342,65387,2619
0500000US,33005,70524,3907,7536,68895,8310
0500000US,33009,74276,3955,5480,70772,5341
0500000US,33011,86819,3486,2407,90209,2726
0500000US,33013,74794,5069,3578,75837,3764
0500000US,33015,93418,2323,3519,92796,3464
0500000US,33017,67703,5270,3968,70284,4784
0500000US,34001,66938,2088,2845,67769,3172
0500000US,34003,112870,3290,3310,116888,3553
0500000US,34005,95820,2563,2962,98510,3063
0500000US,34007,78729,2732,2518,83904,2822
0500000US,34009,73741,3085,3218,72695,3769
0500000US,34011,61662,2635,3681,66281,4229
0500000US,34013,82574,1489,2145,89767,2719
0500000US,34015,88220,3238,2778,91532,3536
0500000US,34017,81426,2807,2323,87162,2530
0500000US,34019,137727,8184,10017,135093,10787
0500000US,34021,99659,3439,4603,102193,5189
0500000US,34023,95302,2104,1884,99637,2075
0500000US,34025,108046,1741,3349,110165,3468
0500000US,34027,126794,3759,4306,128138,4538
0500000US,34029,75982,2257,1720,81457,2257
0500000US,34031,79215,2365,2689,86645,3179
0500000US,34033,71189,4923,4313,75930,5130
0500000US,34035,126573,4704,5294,128645,5501
0500000US,34037,97071,4747,4701,96613,5406
0500000US,34039,92592,4044,3460,93849,3616
0500000US,34041,79886,3435,3001,79324,3843
0500000US,35001,62817,1875,1723,63517,1978
0500000US,35005,59171,5681,7714,52482,3834
0500000US,35013,51176,2717,2213,47369,2879
0500000US,35025,68101,8849,5472,69180,5978
0500000US,35031,42075,2348,3179,47404,4355
0500000US,35035,51886,7128,5011,49430,6052
0500000US,35043,70939,3322,3849,71726,4734
0500000US,35045,62133,2441,3570,66427,4612
0500000US,35049,71027,2046,4027,62581,4202
0500000US,35061,50155,4933,5589,51180,5079
0500000US,36001,74377,2712,3112,75786,3342
0500000US,36005,47632,905,1141,53570,1246
0500000US,36007,59880,2316,2808,60965,3327
0500000US,36009,51903,2837,2371,51218,3001
0500000US,36011,59892,2072,2821,60115,3154
0500000US,36013,55368,1608,4476,57715,4512
0500000US,36015,56838,5541,2792,61064,4294
0500000US,36019,65864,4657,4568,63837,3868
0500000US,36027,86119,2235,2943,84200,3137
0500000US,36029,64913,1122,1368,67973,1775
0500000US,36045,57548,2847,2657,56253,3116
0500000US,36047,65085,1079,1038,72025,1217
0500000US,36051,60569,2885,2797,59839,3847
0500000US,36053,63863,3462,4611,63055,5234
