id,FIPS,Total households!!Median household income (dollars),Margin of Error!!INCOME AND BENEFITS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!Total households!!Median household income (dollars),Total households!!Mean household income (dollars),Margin of Error!!INCOME AND BENEFITS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!Total households!!Mean household income (dollars)
0500000US,17099,57476,4428,66763,3131
0500000US,17111,81063,3439,94250,3505
0500000US,17113,62156,4964,82471,3761
0500000US,17115,46198,4254,62668,3522
0500000US,17119,56035,3576,73318,3506
0500000US,17143,51975,2349,71145,3097
0500000US,17161,50948,1816,65040,3234
0500000US,17163,50267,2369,73193,4417
0500000US,17167,53782,3373,73785,4114
0500000US,17179,60152,3578,74437,3707
0500000US,17183,45481,3398,56819,4879
0500000US,17197,81438,2505,98688,2988
0500000US,17199,48409,3426,59894,4525
0500000US,17201,49749,2160,65234,2784
0500000US,18003,51173,1460,67135,2621
0500000US,18005,59102,5718,73017,5142
0500000US,18019,51401,2832,66198,4029
0500000US,18035,41041,3086,56602,5024
0500000US,18039,54216,3235,65321,4034
0500000US,18043,58586,3807,80423,6957
0500000US,18053,37117,4061,49367,3434
0500000US,18057,89823,4238,116274,6521
0500000US,18059,67799,7663,81328,6273
0500000US,18063,78307,5014,88073,3894
0500000US,18067,45702,5865,62995,4426
0500000US,18081,65991,5709,86468,7265
0500000US,18085,53963,5089,69224,6105
0500000US,18089,53681,1814,69932,2835
0500000US,18091,53507,4244,67659,3744
0500000US,18095,45495,3748,59751,3939
0500000US,18097,44874,1483,65479,2389
0500000US,18105,43582,2884,66101,4681
0500000US,18109,60530,4002,72662,5488
0500000US,18127,66196,3903,82284,3758
0500000US,18141,48358,2877,64649,2618
0500000US,18157,51361,1568,69541,4146
0500000US,18163,46064,3439,63945,4188
0500000US,18167,43910,3578,56349,3246
0500000US,18177,43401,4479,56553,3721
0500000US,19013,50470,3444,69997,5978
0500000US,19049,75899,8802,103298,8326
0500000US,19061,60456,4069,82731,8634
0500000US,19103,58064,3481,76500,3628
0500000US,19113,64639,3775,82094,4041
0500000US,19153,64067,2682,82405,2888
0500000US,19155,55972,4470,75890,6129
0500000US,19163,54730,3681,74517,3836
0500000US,19169,53371,4519,70682,5933
0500000US,19193,52324,4693,68021,5494
0500000US,20015,60182,2865,71661,5682
0500000US,20045,56345,4195,73186,5025
0500000US,20091,80553,1816,107288,2941
0500000US,20103,68299,6891,85412,7153
0500000US,20161,50737,3611,68478,5459
0500000US,20173,52193,1693,68980,1714
0500000US,20177,55710,2840,71877,4023
0500000US,20209,43129,2503,53676,1954
0500000US,21015,72374,5179,92690,5972
0500000US,21029,65359,5413,77718,9885
0500000US,21037,62536,3917,78640,4645
0500000US,21047,41140,4263,52430,4971
0500000US,21059,51764,4455,69426,5753
0500000US,21067,53178,2682,77827,2818
0500000US,21093,52148,3807,67497,4931
0500000US,21111,51991,1398,73595,2032
0500000US,01003,56732,3829,74892,4192
0500000US,01015,41687,3903,58992,5020
0500000US,01043,39411,3647,54412,4271
0500000US,01049,35963,3259,48529,4224
0500000US,01051,52579,6661,71553,7080
0500000US,01055,41152,2983,55243,3843
0500000US,01069,42321,2690,59912,2517
0500000US,01073,50180,1412,74945,2961
0500000US,01077,43427,3414,58691,3561
0500000US,01081,48056,3169,64562,5188
0500000US,01083,50872,3338,69299,5927
0500000US,01089,60503,4000,85057,3369
0500000US,01095,42362,4050,59315,6254
0500000US,01097,45744,2458,61800,2001
0500000US,01101,45395,3505,65678,3977
0500000US,01103,44378,6034,59794,4769
0500000US,01115,60158,4797,65740,3723
0500000US,01117,73647,2838,91136,5137
0500000US,01121,39393,4351,51776,4082
0500000US,01125,47787,3441,65773,3539
0500000US,01127,39068,3135,50794,5551
0500000US,02020,85634,4164,106393,4408
0500000US,02090,77328,9603,87359,6350
0500000US,02170,69332,4510,87787,5324
0500000US,04001,34685,3764,44505,3042
0500000US,04003,45508,3151,55174,3071
0500000US,04005,55091,4663,67297,4171
0500000US,04013,58737,865,81501,1148
0500000US,04015,42423,2342,57530,3945
0500000US,04017,36998,2626,51447,3597
0500000US,04019,47560,1541,65881,1473
0500000US,04021,52555,2162,65692,3389
0500000US,04025,50420,2583,65804,4471
0500000US,04027,43518,2770,56872,2908
0500000US,05007,63631,3028,83871,3041
0500000US,05031,43678,3284,64488,9772
0500000US,05045,48506,5422,65068,5009
0500000US,05051,42826,5424,56172,3909
0500000US,05069,37712,5678,51502,4816
0500000US,05085,55837,5596,64569,4321
0500000US,05119,47387,2823,72387,3213
0500000US,05125,64932,5015,75347,4241
0500000US,05131,42053,2797,56346,4356
0500000US,05143,45679,2617,64869,3700
0500000US,05145,42844,6419,54969,3859
0500000US,06001,89979,1905,117667,1974
0500000US,06007,45177,3768,65703,4086
0500000US,06013,91045,1609,122204,2677
0500000US,06017,75772,4846,100639,8397
0500000US,06019,48715,2081,68967,1851
0500000US,06023,43130,2715,64617,11004
0500000US,06025,49095,6911,63208,5087
0500000US,06029,49903,1490,67594,2127
0500000US,06031,53234,4518,67901,4360
0500000US,06033,42029,5116,60536,5769
0500000US,06037,61338,427,89718,784
0500000US,06039,51657,5660,67604,4654
0500000US,06041,103845,6102,160053,8434
0500000US,06045,43809,4761,65838,9547
0500000US,06047,47739,3931,70672,4946
0500000US,06053,63876,3277,88289,3247
0500000US,06055,75077,8742,106368,5411
0500000US,06057,59022,5577,85575,8233
0500000US,06059,81837,1290,113420,2167
0500000US,06061,85426,3899,110245,4457
0500000US,06065,60134,1342,79354,1432
0500000US,06067,59780,1528,81290,1739
0500000US,06071,56337,1199,73078,1368
0500000US,06073,70824,995,96692,1397
0500000US,06075,103801,3580,144957,3801
0500000US,06077,59518,2003,77528,2278
0500000US,06079,70564,2814,88338,3859
0500000US,06081,108627,5154,156259,4368
0500000US,06083,67436,3312,93389,3519
0500000US,06085,111069,1800,146813,2513
0500000US,06087,77613,3780,106035,5961
0500000US,06089,46724,2821,64293,3129
0500000US,06095,73900,3323,93929,4378
0500000US,06097,73929,2470,97005,3136
0500000US,06099,54305,2381,73567,2947
0500000US,06101,51397,3764,69847,7694
0500000US,06107,45881,1589,61897,2568
0500000US,06111,80135,2823,105609,2556
0500000US,06113,64904,4304,91705,5372
0500000US,06115,49259,6758,66815,5863
0500000US,08001,66033,2488,80680,2048
0500000US,08005,70950,1990,96722,2656
0500000US,08013,74615,3337,105099,4282
0500000US,08014,84349,7092,111621,8884
0500000US,08031,61105,1439,90835,3233
0500000US,08035,109292,5323,134850,4471
0500000US,08041,63882,2330,80992,2193
0500000US,08059,74186,2299,96855,2578
0500000US,08069,66469,2777,83934,3399
0500000US,08077,48846,4429,60280,3745
0500000US,08101,44677,3547,59601,2746
0500000US,08123,63400,2926,81031,3378
0500000US,09001,90123,2925,143628,3548
0500000US,09003,69433,2355,93118,2299
0500000US,09005,76993,4879,100472,5300
0500000US,09007,79739,3623,109052,8109
0500000US,09009,66176,1895,87686,2110
0500000US,09011,70699,2817,94956,4203
0500000US,09013,81252,3226,99096,5092
0500000US,09015,61608,4728,75289,4354
0500000US,10001,54140,3724,66154,3537
0500000US,10003,67274,2788,87144,2714
0500000US,10005,57734,3796,78917,4168
0500000US,11001,75506,3416,114432,4518
0500000US,12001,45304,3195,63144,4145
0500000US,12005,49157,2719,65029,4040
