id,FIPS,Total households!!Median household income (dollars),Total households!!Median household income (dollars),Total households!!Mean household income (dollars),Total households!!Mean household income (dollars)
0500000US,01103,53260,3800,70726,5454
0500000US,06031,61663,4835,74030,4239
0500000US,06053,70681,3641,100358,4889
0500000US,06057,66299,6793,86835,5931
0500000US,06089,56280,5148,71942,3465
0500000US,06115,46574,6976,64235,4873
0500000US,08035,119615,3572,145975,5061
0500000US,09001,91079,2690,150366,4276
0500000US,10001,54419,3658,69806,3779
0500000US,10003,69479,2785,92186,3101
0500000US,12089,63913,5909,91826,7929
0500000US,12111,54098,3900,70069,4876
0500000US,12113,70787,3661,89919,5231
0500000US,13013,61225,5874,73157,4510
0500000US,13157,73150,6737,85599,5749
0500000US,13185,34886,6770,54847,5399
0500000US,13245,39413,2633,54935,3346
0500000US,13285,44260,5382,65104,7176
0500000US,13295,42609,5252,56589,5322
0500000US,17001,56699,6791,75647,9571
0500000US,17037,63085,4518,77923,4604
0500000US,17163,59141,3899,74586,3979
0500000US,17199,43568,3579,59712,5972
0500000US,18035,41662,3947,55830,3448
0500000US,18063,80582,2383,98463,7242
0500000US,18091,51584,2691,68665,5472
0500000US,18095,49615,2986,60839,3187
0500000US,19061,60225,3573,75860,4992
0500000US,19155,55376,4714,71387,4553
0500000US,20091,86746,2056,117813,4066
0500000US,21117,64441,4256,84280,3808
0500000US,21227,53601,2230,71824,6750
0500000US,22055,60071,5749,74543,3753
0500000US,24017,94368,8186,106524,5293
0500000US,24021,95850,4213,116355,4296
0500000US,24033,83034,2026,101623,2265
0500000US,25017,100517,1402,134090,2488
0500000US,25025,69985,3250,102280,3165
0500000US,26045,67195,3731,82681,5381
0500000US,26055,66163,4706,85300,7654
0500000US,26075,51031,3187,66668,4814
0500000US,26077,55416,2455,76214,3438
0500000US,26121,50080,2848,65118,2904
0500000US,26139,69952,2800,86438,3166
0500000US,27003,82492,2757,97645,2682
0500000US,27019,100324,9410,126528,7467
0500000US,27109,75327,4367,100705,5742
0500000US,27137,53550,3190,69677,2108
0500000US,27141,80643,4724,89624,4577
0500000US,28075,37971,4051,54725,7823
0500000US,28081,53062,6832,69878,6559
0500000US,28121,66480,3250,81922,4556
0500000US,31055,64390,2481,89510,2860
0500000US,31109,57650,2916,75565,2009
0500000US,31153,77941,5007,97450,5171
0500000US,33005,59186,6476,83006,8286
0500000US,33011,78978,2930,102956,3549
0500000US,34009,67007,8412,97909,6346
0500000US,34011,52795,6151,68355,4672
0500000US,34017,74414,2617,106971,3280
0500000US,35045,44841,4446,59736,3241
0500000US,35049,60193,3393,87083,4719
0500000US,36089,49681,3193,65780,3245
0500000US,36111,63889,4118,88816,4261
0500000US,37025,69679,3685,89464,5011
0500000US,37051,46716,1524,61491,2672
0500000US,37081,51803,1793,76103,2515
0500000US,37183,79970,2039,106985,2491
0500000US,38015,71172,6473,88539,5574
0500000US,39085,65835,2222,83949,4150
0500000US,39093,58613,3346,78048,4417
0500000US,39095,47360,1964,66196,2823
0500000US,39153,58876,2688,79109,2523
0500000US,40037,55264,3117,71791,6167
0500000US,40119,48031,4785,67211,8091
0500000US,40131,60148,3567,82894,5419
0500000US,40143,55638,1421,79374,1984
0500000US,41039,53172,1686,70610,2687
0500000US,42001,62284,4307,76958,3301
0500000US,42041,71802,2297,94267,4770
0500000US,42075,61362,2879,73313,3259
0500000US,42081,55045,3741,67489,2964
0500000US,44003,68994,5028,89183,5708
0500000US,45015,62994,4337,78381,4074
0500000US,45085,45994,3606,59762,5006
0500000US,47037,60856,1690,87535,2868
0500000US,47065,57280,2712,79174,3097
0500000US,47147,69079,5733,83572,8273
0500000US,47179,48765,4700,68336,5761
0500000US,48039,73623,4248,93145,4712
0500000US,48085,96051,3181,123475,3301
0500000US,48113,59839,1022,88220,1467
0500000US,48167,73840,4662,97662,4823
0500000US,48491,87454,2839,104029,3018
0500000US,49005,59248,5589,71268,3823
0500000US,49045,72906,7366,78560,5952
0500000US,51153,107925,5103,127234,4320
0500000US,51199,83593,11328,97171,6350
0500000US,53011,74060,2478,94976,3194
0500000US,53015,59225,4614,77092,7563
0500000US,53041,61058,6257,72943,5141
0500000US,53045,58094,4214,68453,5960
0500000US,53053,75407,1954,95016,2099
0500000US,54061,50834,3262,78259,6366
0500000US,54081,39122,9333,57529,5780
0500000US,55009,61651,2049,82082,6266
0500000US,55105,57037,2952,71523,3942
0500000US,55117,60896,3331,74928,3369
0500000US,56021,64306,4928,84033,7892
0500000US,01089,63111,2754,85717,3106
0500000US,01127,47602,4904,64412,7044
0500000US,05007,67164,4406,97031,5779
0500000US,06065,66964,1177,89761,1901
0500000US,06085,126606,3046,170966,2944
0500000US,06087,86941,5013,119608,5558
0500000US,06099,60321,3397,78370,2891
0500000US,06101,59121,4224,81131,10418
0500000US,06111,84566,2398,110437,2811
0500000US,08001,70743,2761,88163,4018
0500000US,08101,48468,2816,60765,3567
0500000US,09009,67845,2580,94343,2987
0500000US,12061,57508,5021,89442,8869
0500000US,12081,59956,2429,86163,4697
0500000US,12099,61691,1430,97332,2863
0500000US,12107,41608,5256,55109,5102
0500000US,13021,40495,3567,57834,3755
0500000US,13057,82069,3450,100223,6068
0500000US,13089,64461,3851,92984,2802
0500000US,13097,60829,6317,76860,5823
0500000US,13117,104687,3626,128969,4971
0500000US,13121,70930,1226,115257,3894
0500000US,13127,55196,6061,84585,9812
0500000US,13135,72184,3183,90733,3259
0500000US,13215,47288,3943,62065,3551
0500000US,15001,57571,6578,86179,9444
0500000US,15007,80921,6949,97438,9083
0500000US,16001,66405,2660,86645,3696
0500000US,16027,53374,3161,63000,3417
0500000US,17097,87133,2087,124501,3587
0500000US,17111,85275,5233,106299,4689
0500000US,17179,60857,2693,75663,4916
0500000US,18019,56307,4841,73706,4928
0500000US,18053,44839,3343,54737,3813
0500000US,18081,68209,5082,83327,4678
0500000US,18127,66476,5305,82931,3795
0500000US,19013,51920,2147,69819,3710
0500000US,19103,63035,5241,90332,5846
0500000US,20173,55882,2209,74899,2523
0500000US,21015,77429,6686,94148,5388
0500000US,22051,50766,1697,71194,2715
0500000US,22057,50296,6243,71143,5850
0500000US,23031,66614,4465,81672,3672
0500000US,24027,116984,5415,144344,5449
0500000US,24031,108188,2782,147917,3706
0500000US,24510,51000,1530,74942,2489
0500000US,26005,61353,4986,73331,3238
0500000US,26081,61537,1661,85481,3495
0500000US,26099,62107,1400,78874,1565
0500000US,27053,76052,1331,109964,2045
0500000US,27131,65839,6563,82287,4989
0500000US,28067,49393,13557,59227,6798
0500000US,29037,71114,6282,83313,4234
0500000US,29051,63568,4309,80749,7060
0500000US,29071,58209,4916,77029,6873
0500000US,29189,66778,1956,98565,2450
0500000US,29510,43889,2305,63791,2564
0500000US,33017,71528,5983,92591,7027
0500000US,34005,84889,3734,112755,3862
0500000US,34007,67523,2954,91076,3146
0500000US,34013,63368,3408,105636,3446
0500000US,34021,80632,3738,114713,5012
0500000US,35035,42591,6318,53601,6698
0500000US,36067,59883,2300,81410,3037
0500000US,36069,62522,3414,86163,6199
0500000US,36083,71648,2014,84541,4532
0500000US,36113,56482,3144,75644,6843
0500000US,36117,61515,3238,79920,7400
0500000US,37057,45320,3911,60887,3691
0500000US,37069,60598,5862,75625,6352
0500000US,37071,52741,2986,69665,3133
0500000US,37129,52239,3225,73080,3233
0500000US,37161,43111,4217,57586,5726
0500000US,37171,48398,8296,62494,6609
0500000US,39081,40308,4922,64461,8129
0500000US,39089,67784,6341,83731,4592
0500000US,39169,59111,2774,71609,4373
0500000US,41019,47004,3312,59497,4006
0500000US,41029,56546,3735,75097,4983
0500000US,42055,61208,6436,76310,5173
0500000US,42063,49448,5506,63257,3940
0500000US,42085,48847,3649,63746,3786
0500000US,42091,90122,3055,124717,3021
0500000US,42111,50988,2164,67581,4821
0500000US,42133,65239,2771,83566,2996
0500000US,44007,56461,1948,74206,2521
0500000US,45007,51699,3046,69079,4868
0500000US,45013,65607,2684,92193,5171
0500000US,46099,58742,3208,73636,3213
0500000US,47125,56019,4027,71266,4823
0500000US,47149,63739,2605,77231,3216
0500000US,47165,65948,2156,88937,5370
0500000US,47187,110700,7754,144348,6643
0500000US,48135,64165,6882,88400,6950
0500000US,48183,51361,4420,74012,6675
0500000US,48251,62390,4913,80258,4515
0500000US,48309,48713,3338,64493,2647
0500000US,48347,46459,3308,61279,5538
0500000US,48397,100595,9005,112543,7210
0500000US,48409,55018,6763,69669,5507
