id,FIPS,Total households!!Median household income (dollars),Margin of Error!!INCOME AND BENEFITS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Total households!!Median household income (dollars),Total households!!Mean household income (dollars),Margin of Error!!INCOME AND BENEFITS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Total households!!Mean household income (dollars)
0500000US,01001,58786,2972,75515,6810
0500000US,01003,55962,1204,77212,1732
0500000US,01005,34186,2552,47909,2220
0500000US,01007,45340,5618,58529,4043
0500000US,01009,48695,2703,60646,2567
0500000US,01011,32152,10285,45516,6022
0500000US,01013,39109,2026,52630,3285
0500000US,01015,45197,1578,61653,2172
0500000US,01017,39872,2347,53553,3613
0500000US,01019,41014,1931,55611,3533
0500000US,01021,45182,3184,62771,4644
0500000US,01023,34884,2927,52247,3593
0500000US,01025,36127,4237,51892,3475
0500000US,01027,41225,4334,56739,5041
0500000US,01029,40188,4625,54871,4661
0500000US,01031,53155,2474,69305,2466
0500000US,01033,47558,2607,59835,2618
0500000US,01035,33177,2481,41773,3214
0500000US,01037,38301,3436,55936,7431
0500000US,01039,40601,1923,55315,1974
0500000US,01041,39812,2817,58669,6758
0500000US,01043,42558,1523,58564,2355
0500000US,01045,45960,2816,59184,2415
0500000US,01047,31602,1447,46049,1751
0500000US,01049,39233,2081,54158,2412
0500000US,01051,59347,2721,74630,3394
0500000US,01053,35000,3118,47508,2634
0500000US,01055,44023,1776,58953,1822
0500000US,01057,37458,3109,52024,4182
0500000US,01059,40459,2822,52295,2707
0500000US,01061,38142,3168,49724,2639
0500000US,01063,21804,4672,33639,3716
0500000US,01065,30571,4241,49368,3835
0500000US,01067,48610,3806,59476,3258
0500000US,01069,45496,941,64926,1349
0500000US,01071,39816,1602,52230,2069
0500000US,01073,51979,687,75281,1057
0500000US,01075,36756,2887,51320,5263
0500000US,01077,46265,1490,64129,2174
0500000US,01079,44515,2491,58594,2858
0500000US,01081,48056,1506,69057,2392
0500000US,01083,56460,3118,74295,2730
0500000US,01085,30833,3373,47366,2832
0500000US,01087,32074,2430,48702,3332
0500000US,01089,63417,1447,85952,1444
0500000US,01091,32809,3613,50946,6432
0500000US,01093,35392,3171,50337,3059
0500000US,01095,42490,1703,61600,2260
0500000US,01097,46166,1129,63768,1261
0500000US,01099,30141,4709,45863,3117
0500000US,01101,47990,1315,68306,1535
0500000US,01103,49751,2001,65068,2099
0500000US,01105,23561,2573,33680,4127
0500000US,01107,37458,3062,54603,4438
