"GEO_ID","id",
"NAME","Geographic Area Name",
"B07009_001E","Estimate!!Total",
"B07009_001M","Margin of Error!!Total",
"B07009_002E","Estimate!!Total!!Less than high school graduate",
"B07009_002M","Margin of Error!!Total!!Less than high school graduate",
"B07009_003E","Estimate!!Total!!High school graduate (includes equivalency)",
"B07009_003M","Margin of Error!!Total!!High school graduate (includes equivalency)",
"B07009_004E","Estimate!!Total!!Some college or associate's degree",
"B07009_004M","Margin of Error!!Total!!Some college or associate's degree",
"B07009_005E","Estimate!!Total!!Bachelor's degree",
"B07009_005M","Margin of Error!!Total!!Bachelor's degree",
"B07009_006E","Estimate!!Total!!Graduate or professional degree",
"B07009_006M","Margin of Error!!Total!!Graduate or professional degree",
"B07009_007E","Estimate!!Total!!Same house 1 year ago",
"B07009_007M","Margin of Error!!Total!!Same house 1 year ago",
"B07009_008E","Estimate!!Total!!Same house 1 year ago!!Less than high school graduate",
"B07009_008M","Margin of Error!!Total!!Same house 1 year ago!!Less than high school graduate",
"B07009_009E","Estimate!!Total!!Same house 1 year ago!!High school graduate (includes equivalency)",
"B07009_009M","Margin of Error!!Total!!Same house 1 year ago!!High school graduate (includes equivalency)",
"B07009_010E","Estimate!!Total!!Same house 1 year ago!!Some college or associate's degree",
"B07009_010M","Margin of Error!!Total!!Same house 1 year ago!!Some college or associate's degree",
"B07009_011E","Estimate!!Total!!Same house 1 year ago!!Bachelor's degree",
"B07009_011M","Margin of Error!!Total!!Same house 1 year ago!!Bachelor's degree",
"B07009_012E","Estimate!!Total!!Same house 1 year ago!!Graduate or professional degree",
"B07009_012M","Margin of Error!!Total!!Same house 1 year ago!!Graduate or professional degree",
"B07009_013E","Estimate!!Total!!Moved within same county",
"B07009_013M","Margin of Error!!Total!!Moved within same county",
"B07009_014E","Estimate!!Total!!Moved within same county!!Less than high school graduate",
"B07009_014M","Margin of Error!!Total!!Moved within same county!!Less than high school graduate",
"B07009_015E","Estimate!!Total!!Moved within same county!!High school graduate (includes equivalency)",
"B07009_015M","Margin of Error!!Total!!Moved within same county!!High school graduate (includes equivalency)",
"B07009_016E","Estimate!!Total!!Moved within same county!!Some college or associate's degree",
"B07009_016M","Margin of Error!!Total!!Moved within same county!!Some college or associate's degree",
"B07009_017E","Estimate!!Total!!Moved within same county!!Bachelor's degree",
"B07009_017M","Margin of Error!!Total!!Moved within same county!!Bachelor's degree",
"B07009_018E","Estimate!!Total!!Moved within same county!!Graduate or professional degree",
"B07009_018M","Margin of Error!!Total!!Moved within same county!!Graduate or professional degree",
"B07009_019E","Estimate!!Total!!Moved from different county within same state",
"B07009_019M","Margin of Error!!Total!!Moved from different county within same state",
"B07009_020E","Estimate!!Total!!Moved from different county within same state!!Less than high school graduate",
"B07009_020M","Margin of Error!!Total!!Moved from different county within same state!!Less than high school graduate",
"B07009_021E","Estimate!!Total!!Moved from different county within same state!!High school graduate (includes equivalency)",
"B07009_021M","Margin of Error!!Total!!Moved from different county within same state!!High school graduate (includes equivalency)",
"B07009_022E","Estimate!!Total!!Moved from different county within same state!!Some college or associate's degree",
"B07009_022M","Margin of Error!!Total!!Moved from different county within same state!!Some college or associate's degree",
"B07009_023E","Estimate!!Total!!Moved from different county within same state!!Bachelor's degree",
"B07009_023M","Margin of Error!!Total!!Moved from different county within same state!!Bachelor's degree",
"B07009_024E","Estimate!!Total!!Moved from different county within same state!!Graduate or professional degree",
"B07009_024M","Margin of Error!!Total!!Moved from different county within same state!!Graduate or professional degree",
"B07009_025E","Estimate!!Total!!Moved from different state",
"B07009_025M","Margin of Error!!Total!!Moved from different state",
"B07009_026E","Estimate!!Total!!Moved from different state!!Less than high school graduate",
"B07009_026M","Margin of Error!!Total!!Moved from different state!!Less than high school graduate",
"B07009_027E","Estimate!!Total!!Moved from different state!!High school graduate (includes equivalency)",
"B07009_027M","Margin of Error!!Total!!Moved from different state!!High school graduate (includes equivalency)",
"B07009_028E","Estimate!!Total!!Moved from different state!!Some college or associate's degree",
"B07009_028M","Margin of Error!!Total!!Moved from different state!!Some college or associate's degree",
"B07009_029E","Estimate!!Total!!Moved from different state!!Bachelor's degree",
"B07009_029M","Margin of Error!!Total!!Moved from different state!!Bachelor's degree",
"B07009_030E","Estimate!!Total!!Moved from different state!!Graduate or professional degree",
"B07009_030M","Margin of Error!!Total!!Moved from different state!!Graduate or professional degree",
"B07009_031E","Estimate!!Total!!Moved from abroad",
"B07009_031M","Margin of Error!!Total!!Moved from abroad",
"B07009_032E","Estimate!!Total!!Moved from abroad!!Less than high school graduate",
"B07009_032M","Margin of Error!!Total!!Moved from abroad!!Less than high school graduate",
"B07009_033E","Estimate!!Total!!Moved from abroad!!High school graduate (includes equivalency)",
"B07009_033M","Margin of Error!!Total!!Moved from abroad!!High school graduate (includes equivalency)",
"B07009_034E","Estimate!!Total!!Moved from abroad!!Some college or associate's degree",
"B07009_034M","Margin of Error!!Total!!Moved from abroad!!Some college or associate's degree",
"B07009_035E","Estimate!!Total!!Moved from abroad!!Bachelor's degree",
"B07009_035M","Margin of Error!!Total!!Moved from abroad!!Bachelor's degree",
"B07009_036E","Estimate!!Total!!Moved from abroad!!Graduate or professional degree",
"B07009_036M","Margin of Error!!Total!!Moved from abroad!!Graduate or professional degree",
