"GEO_ID","NAME","B07009_001E","B07009_001M","B07009_002E","B07009_002M","B07009_003E","B07009_003M","B07009_004E","B07009_004M","B07009_005E","B07009_005M","B07009_006E","B07009_006M","B07009_007E","B07009_007M","B07009_008E","B07009_008M","B07009_009E","B07009_009M","B07009_010E","B07009_010M","B07009_011E","B07009_011M","B07009_012E","B07009_012M","B07009_013E","B07009_013M","B07009_014E","B07009_014M","B07009_015E","B07009_015M","B07009_016E","B07009_016M","B07009_017E","B07009_017M","B07009_018E","B07009_018M","B07009_019E","B07009_019M","B07009_020E","B07009_020M","B07009_021E","B07009_021M","B07009_022E","B07009_022M","B07009_023E","B07009_023M","B07009_024E","B07009_024M","B07009_025E","B07009_025M","B07009_026E","B07009_026M","B07009_027E","B07009_027M","B07009_028E","B07009_028M","B07009_029E","B07009_029M","B07009_030E","B07009_030M","B07009_031E","B07009_031M","B07009_032E","B07009_032M","B07009_033E","B07009_033M","B07009_034E","B07009_034M","B07009_035E","B07009_035M","B07009_036E","B07009_036M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Less than high school graduate","Margin of Error!!Total!!Less than high school graduate","Estimate!!Total!!High school graduate (includes equivalency)","Margin of Error!!Total!!High school graduate (includes equivalency)","Estimate!!Total!!Some college or associate's degree","Margin of Error!!Total!!Some college or associate's degree","Estimate!!Total!!Bachelor's degree","Margin of Error!!Total!!Bachelor's degree","Estimate!!Total!!Graduate or professional degree","Margin of Error!!Total!!Graduate or professional degree","Estimate!!Total!!Same house 1 year ago","Margin of Error!!Total!!Same house 1 year ago","Estimate!!Total!!Same house 1 year ago!!Less than high school graduate","Margin of Error!!Total!!Same house 1 year ago!!Less than high school graduate","Estimate!!Total!!Same house 1 year ago!!High school graduate (includes equivalency)","Margin of Error!!Total!!Same house 1 year ago!!High school graduate (includes equivalency)","Estimate!!Total!!Same house 1 year ago!!Some college or associate's degree","Margin of Error!!Total!!Same house 1 year ago!!Some college or associate's degree","Estimate!!Total!!Same house 1 year ago!!Bachelor's degree","Margin of Error!!Total!!Same house 1 year ago!!Bachelor's degree","Estimate!!Total!!Same house 1 year ago!!Graduate or professional degree","Margin of Error!!Total!!Same house 1 year ago!!Graduate or professional degree","Estimate!!Total!!Moved within same county","Margin of Error!!Total!!Moved within same county","Estimate!!Total!!Moved within same county!!Less than high school graduate","Margin of Error!!Total!!Moved within same county!!Less than high school graduate","Estimate!!Total!!Moved within same county!!High school graduate (includes equivalency)","Margin of Error!!Total!!Moved within same county!!High school graduate (includes equivalency)","Estimate!!Total!!Moved within same county!!Some college or associate's degree","Margin of Error!!Total!!Moved within same county!!Some college or associate's degree","Estimate!!Total!!Moved within same county!!Bachelor's degree","Margin of Error!!Total!!Moved within same county!!Bachelor's degree","Estimate!!Total!!Moved within same county!!Graduate or professional degree","Margin of Error!!Total!!Moved within same county!!Graduate or professional degree","Estimate!!Total!!Moved from different county within same state","Margin of Error!!Total!!Moved from different county within same state","Estimate!!Total!!Moved from different county within same state!!Less than high school graduate","Margin of Error!!Total!!Moved from different county within same state!!Less than high school graduate","Estimate!!Total!!Moved from different county within same state!!High school graduate (includes equivalency)","Margin of Error!!Total!!Moved from different county within same state!!High school graduate (includes equivalency)","Estimate!!Total!!Moved from different county within same state!!Some college or associate's degree","Margin of Error!!Total!!Moved from different county within same state!!Some college or associate's degree","Estimate!!Total!!Moved from different county within same state!!Bachelor's degree","Margin of Error!!Total!!Moved from different county within same state!!Bachelor's degree","Estimate!!Total!!Moved from different county within same state!!Graduate or professional degree","Margin of Error!!Total!!Moved from different county within same state!!Graduate or professional degree","Estimate!!Total!!Moved from different state","Margin of Error!!Total!!Moved from different state","Estimate!!Total!!Moved from different state!!Less than high school graduate","Margin of Error!!Total!!Moved from different state!!Less than high school graduate","Estimate!!Total!!Moved from different state!!High school graduate (includes equivalency)","Margin of Error!!Total!!Moved from different state!!High school graduate (includes equivalency)","Estimate!!Total!!Moved from different state!!Some college or associate's degree","Margin of Error!!Total!!Moved from different state!!Some college or associate's degree","Estimate!!Total!!Moved from different state!!Bachelor's degree","Margin of Error!!Total!!Moved from different state!!Bachelor's degree","Estimate!!Total!!Moved from different state!!Graduate or professional degree","Margin of Error!!Total!!Moved from different state!!Graduate or professional degree","Estimate!!Total!!Moved from abroad","Margin of Error!!Total!!Moved from abroad","Estimate!!Total!!Moved from abroad!!Less than high school graduate","Margin of Error!!Total!!Moved from abroad!!Less than high school graduate","Estimate!!Total!!Moved from abroad!!High school graduate (includes equivalency)","Margin of Error!!Total!!Moved from abroad!!High school graduate (includes equivalency)","Estimate!!Total!!Moved from abroad!!Some college or associate's degree","Margin of Error!!Total!!Moved from abroad!!Some college or associate's degree","Estimate!!Total!!Moved from abroad!!Bachelor's degree","Margin of Error!!Total!!Moved from abroad!!Bachelor's degree","Estimate!!Total!!Moved from abroad!!Graduate or professional degree","Margin of Error!!Total!!Moved from abroad!!Graduate or professional degree"
"0500000US35043","Sandoval County, New Mexico","97983","386","10147","1667","26068","2460","33646","2273","16504","1989","11618","1784","90654","1850","9359","1632","24997","2467","31164","2224","14724","1797","10410","1709","1727","687","375","333","278","223","697","394","272","333","105","118","3275","1348","348","308","754","518","832","525","806","657","535","396","2084","792","0","201","0","201","814","435","702","424","568","433","243","245","65","105","39","69","139","229","0","201","0","201"
"0500000US35045","San Juan County, New Mexico","81121","643","13080","1986","25803","2367","30863","2279","7330","1288","4045","857","73124","2026","11531","1840","23828","2447","27825","2403","6355","1122","3585","777","5272","1671","1191","733","1535","690","2212","869","227","181","107","180","1030","620","296","264","227","257","217","202","111","189","179","292","1570","701","62","105","213","239","522","329","637","573","136","193","125","146","0","201","0","201","87","117","0","201","38","62"
"0500000US35049","Santa Fe County, New Mexico","110401","423","10345","1874","26052","2480","29466","2400","22386","1668","22152","1808","100802","1383","9822","1830","24385","2598","27450","2276","20226","1707","18919","1738","4435","1074","178","235","1090","542","927","447","1059","436","1181","447","1722","711","149","172","321","283","204","137","507","342","541","375","3180","1014","196","305","256","328","770","411","547","266","1411","709","262","184","0","201","0","201","115","128","47","79","100","101"
"0500000US35061","Valencia County, New Mexico","50650","898","7897","1744","16557","2328","18725","1843","4633","1016","2838","1037","43525","2040","7183","1723","14144","2455","15006","1762","4615","1017","2577","1016","3354","1278","270","243","1168","698","1733","1067","0","201","183","230","2368","1090","257","200","901","693","1192","909","18","33","0","201","1403","869","187","259","344","328","794","642","0","201","78","125","0","201","0","201","0","201","0","201","0","201","0","201"
"0500000US36001","Albany County, New York","205266","1058","15167","2146","46290","3235","55943","3228","45295","2672","42571","2973","177321","2958","12675","2005","40276","3073","47410","3064","39708","2457","37252","2844","16010","2769","800","515","3726","1181","5455","1576","2724","958","3305","1291","8349","1688","1134","488","1934","635","2328","722","1811","755","1142","647","2127","669","0","200","257","181","430","287","684","462","756","345","1459","939","558","710","97","129","320","498","368","352","116","134"
"0500000US36005","Bronx County, New York","953271","518","267658","8767","263368","8843","235123","8788","119914","6814","67208","4479","870123","6486","243204","8072","240428","8649","219139","8531","107964","6478","59388","4077","44937","5332","14528","3260","13757","1951","9214","1974","4934","1218","2504","881","20916","2586","5199","1118","5856","1308","3712","1313","3476","954","2673","810","6628","1821","907","441","1573","1025","1722","917","1281","794","1145","537","10667","2021","3820","1113","1754","610","1336","652","2259","996","1498","960"
"0500000US36007","Broome County, New York","127879","733","12240","1604","39430","2658","41194","2825","19509","1929","15506","1897","114851","2096","10616","1434","35575","2493","36996","2792","17968","1772","13696","1789","8709","1920","1407","570","3121","1096","2826","1018","503","325","852","537","2445","900","109","175","654","387","1019","700","562","383","101","143","1344","719","108","178","80","134","127","144","476","363","553","536","530","440","0","200","0","200","226","260","0","200","304","302"
"0500000US36009","Cattaraugus County, New York","52806","393","5570","819","19738","1466","16883","1302","5875","785","4740","753","48137","1035","5051","761","18659","1456","14629","1183","5482","762","4316","692","2885","826","471","218","659","373","1356","556","250","155","149","158","814","340","0","200","280","199","195","137","92","95","247","234","943","516","48","56","122","97","694","503","51","52","28","35","27","33","0","200","18","30","9","17","0","200","0","200"
"0500000US36011","Cayuga County, New York","55989","410","7286","1267","18266","1451","17876","1632","8024","1286","4537","828","48898","1267","5848","1167","15990","1528","16151","1484","6481","1030","4428","835","3661","1027","546","369","1723","669","968","485","375","325","49","56","3115","919","831","334","484","341","732","369","1030","725","38","41","261","163","45","74","69","78","25","41","122","126","0","200","54","46","16","26","0","200","0","200","16","28","22","37"
"0500000US36013","Chautauqua County, New York","88890","746","9403","1271","30577","2395","28680","2059","10981","1345","9249","1363","80587","1369","8347","1301","27535","2184","25966","2003","9957","1317","8782","1364","5088","1178","403","207","2109","814","1806","710","620","369","150","136","1796","639","534","293","437","271","448","230","193","181","184","179","1044","540","26","31","366","377","460","341","117","127","75","95","375","292","93","117","130","200","0","200","94","105","58","71"
"0500000US36015","Chemung County, New York","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"0500000US36019","Clinton County, New York","55133","540","7070","1125","21876","1993","13976","1665","7123","1167","5088","1215","47271","1715","5679","1080","18692","1893","12392","1540","5867","946","4641","1239","5031","1461","622","381","2138","984","1295","547","784","545","192","178","2125","521","504","248","1046","369","289","200","228","172","58","68","527","336","157","129","0","200","0","200","173","167","197","210","179","184","108","139","0","200","0","200","71","119","0","200"
"0500000US36027","Dutchess County, New York","206240","486","16777","2122","55384","3787","62871","3651","37229","2766","33979","3036","186086","2668","14578","2050","49346","3604","57823","3561","33461","2606","30878","2904","9498","1709","854","405","3395","1187","2664","945","1278","577","1307","544","7319","1700","1089","516","1815","652","1450","620","2040","813","925","499","2578","838","165","139","601","446","653","333","367","267","792","423","759","327","91","111","227","198","281","199","83","119","77","89"
"0500000US36029","Erie County, New York","649960","360","52552","3556","177229","5521","196905","6338","129263","5239","94011","4838","576570","4869","45555","3298","159152","5392","175456","6175","112445","4794","83962","4400","54867","4012","4859","1305","14069","2548","17233","2226","11950","2263","6756","1232","8473","1863","1407","716","2037","845","2130","898","1700","648","1199","629","7690","1618","427","449","1421","614","1848","840","2304","691","1690","683","2360","891","304","369","550","425","238","257","864","522","404","385"
"0500000US36045","Jefferson County, New York","72243","702","7516","1041","25126","1822","24292","1822","9243","1369","6066","1077","60153","1724","6341","986","21246","1854","20768","1708","6605","996","5193","874","5054","1225","822","456","2381","823","919","352","770","463","162","143","2039","757","217","147","279","185","1015","509","287","255","241","294","4046","1420","136","118","1080","632","1273","712","1087","592","470","342","951","617","0","200","140","204","317","258","494","457","0","200"
"0500000US36047","Kings County, New York","1820860","564","311397","9482","483107","11621","350812","9819","402835","9149","272709","7459","1652465","6364","288249","8798","451967","11022","327337","9730","347897","8303","237015","7152","97730","5345","15629","2542","18889","2579","13665","1752","30199","2678","19348","2371","35453","3029","2784","802","6415","1317","5365","1128","12782","1760","8107","1442","19143","2537","1196","559","2824","1040","2845","710","7747","1351","4531","1191","16069","2690","3539","1247","3012","930","1600","648","4210","1080","3708","1046"
"0500000US36051","Livingston County, New York","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"0500000US36053","Madison County, New York","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"0500000US36055","Monroe County, New York","515145","139","48413","3430","126028","5169","148592","5131","104187","4251","87925","4396","452526","4021","39287","3174","111048","5022","130777","4752","92494","4073","78920","3839","47445","3667","6959","1273","11916","1915","14037","2213","8492","1515","6041","1513","5999","1426","1220","713","1573","779","1279","665","1335","590","592","295","6884","1750","414","277","559","385","2169","1079","1646","730","2096","774","2291","935","533","376","932","706","330","200","220","272","276","238"
"0500000US36059","Nassau County, New York","951605","244","86083","5282","218684","7937","217357","5736","236890","6816","192591","6585","883228","4787","78322","5154","203708","7898","202336","5841","219390","6469","179472","6625","38352","3126","4410","1464","9167","1865","8764","1539","9583","1728","6428","1363","22840","3370","2056","770","5003","1558","4334","1145","6237","1354","5210","1277","4300","1308","577","549","593","357","1544","639","856","517","730","382","2885","703","718","344","213","125","379","253","824","433","751","441"
"0500000US36061","New York County, New York","1273269","690","177715","7624","153590","7897","170963","9086","389667","10835","381334","10556","1097449","9899","166061","7680","142297","7745","156089","8721","319631","10275","313371","9974","89859","6671","7205","1875","4590","1281","7709","2631","37927","3707","32428","4041","27374","4722","3119","1161","3249","1257","2874","1126","9532","2656","8600","2198","39299","4596","476","424","2194","1067","3133","1634","15336","3134","18160","2740","19288","3277","854","541","1260","718","1158","548","7241","2108","8775","2069"
"0500000US36063","Niagara County, New York","151004","764","13170","1991","50467","3212","50468","2500","20065","2264","16834","2021","137914","2104","11815","1972","46606","3106","46031","2544","18447","2200","15015","1839","8252","1621","1053","552","2650","770","2771","903","655","305","1123","691","3100","1021","302","278","661","377","1208","608","723","397","206","187","1386","664","0","200","287","220","375","267","234","228","490","431","352","215","0","200","263","197","83","142","6","12","0","200"
"0500000US36065","Oneida County, New York","160501","1053","19688","2250","50510","2911","52412","2553","22461","1994","15430","1739","145754","2177","17041","1978","45729","2926","48249","2439","20992","1974","13743","1634","9990","1683","1619","723","3324","795","3115","898","1019","423","913","489","2904","955","738","330","956","455","765","511","64","90","381","281","1641","862","248","245","487","373","182","179","334","288","390","355","212","161","42","73","14","29","101","100","52","89","3","6"
