"GEO_ID","NAME","B07009_008M","B07009_009E","B07009_009M","B07009_010E","B07009_010M","B07009_011E","B07009_011M","B07009_012E","B07009_012M","B07009_013E","B07009_013M","B07009_014E","B07009_014M","B07009_015E","B07009_015M","B07009_016E","B07009_016M","B07009_017E","B07009_017M","B07009_018E","B07009_018M","B07009_019E","B07009_019M","B07009_020E","B07009_020M","B07009_021E","B07009_021M","B07009_022E","B07009_022M","B07009_023E","B07009_023M","B07009_024E","B07009_024M","B07009_025E","B07009_025M","B07009_026E","B07009_026M","B07009_027E","B07009_027M","B07009_028E","B07009_028M","B07009_029E","B07009_029M","B07009_030E","B07009_030M","B07009_031E","B07009_031M","B07009_032E","B07009_032M","B07009_033E","B07009_033M","B07009_034E","B07009_034M","B07009_035E","B07009_035M","B07009_036E","B07009_036M","B07009_001E","B07009_001M","B07009_002E","B07009_002M","B07009_003E","B07009_003M","B07009_004E","B07009_004M","B07009_005E","B07009_005M","B07009_006E","B07009_006M","B07009_007E","B07009_007M","B07009_008E"
"id","Geographic Area Name","Margin of Error!!Total!!Same house 1 year ago!!Less than high school graduate","Estimate!!Total!!Same house 1 year ago!!High school graduate (includes equivalency)","Margin of Error!!Total!!Same house 1 year ago!!High school graduate (includes equivalency)","Estimate!!Total!!Same house 1 year ago!!Some college or associate's degree","Margin of Error!!Total!!Same house 1 year ago!!Some college or associate's degree","Estimate!!Total!!Same house 1 year ago!!Bachelor's degree","Margin of Error!!Total!!Same house 1 year ago!!Bachelor's degree","Estimate!!Total!!Same house 1 year ago!!Graduate or professional degree","Margin of Error!!Total!!Same house 1 year ago!!Graduate or professional degree","Estimate!!Total!!Moved within same county","Margin of Error!!Total!!Moved within same county","Estimate!!Total!!Moved within same county!!Less than high school graduate","Margin of Error!!Total!!Moved within same county!!Less than high school graduate","Estimate!!Total!!Moved within same county!!High school graduate (includes equivalency)","Margin of Error!!Total!!Moved within same county!!High school graduate (includes equivalency)","Estimate!!Total!!Moved within same county!!Some college or associate's degree","Margin of Error!!Total!!Moved within same county!!Some college or associate's degree","Estimate!!Total!!Moved within same county!!Bachelor's degree","Margin of Error!!Total!!Moved within same county!!Bachelor's degree","Estimate!!Total!!Moved within same county!!Graduate or professional degree","Margin of Error!!Total!!Moved within same county!!Graduate or professional degree","Estimate!!Total!!Moved from different county within same state","Margin of Error!!Total!!Moved from different county within same state","Estimate!!Total!!Moved from different county within same state!!Less than high school graduate","Margin of Error!!Total!!Moved from different county within same state!!Less than high school graduate","Estimate!!Total!!Moved from different county within same state!!High school graduate (includes equivalency)","Margin of Error!!Total!!Moved from different county within same state!!High school graduate (includes equivalency)","Estimate!!Total!!Moved from different county within same state!!Some college or associate's degree","Margin of Error!!Total!!Moved from different county within same state!!Some college or associate's degree","Estimate!!Total!!Moved from different county within same state!!Bachelor's degree","Margin of Error!!Total!!Moved from different county within same state!!Bachelor's degree","Estimate!!Total!!Moved from different county within same state!!Graduate or professional degree","Margin of Error!!Total!!Moved from different county within same state!!Graduate or professional degree","Estimate!!Total!!Moved from different state","Margin of Error!!Total!!Moved from different state","Estimate!!Total!!Moved from different state!!Less than high school graduate","Margin of Error!!Total!!Moved from different state!!Less than high school graduate","Estimate!!Total!!Moved from different state!!High school graduate (includes equivalency)","Margin of Error!!Total!!Moved from different state!!High school graduate (includes equivalency)","Estimate!!Total!!Moved from different state!!Some college or associate's degree","Margin of Error!!Total!!Moved from different state!!Some college or associate's degree","Estimate!!Total!!Moved from different state!!Bachelor's degree","Margin of Error!!Total!!Moved from different state!!Bachelor's degree","Estimate!!Total!!Moved from different state!!Graduate or professional degree","Margin of Error!!Total!!Moved from different state!!Graduate or professional degree","Estimate!!Total!!Moved from abroad","Margin of Error!!Total!!Moved from abroad","Estimate!!Total!!Moved from abroad!!Less than high school graduate","Margin of Error!!Total!!Moved from abroad!!Less than high school graduate","Estimate!!Total!!Moved from abroad!!High school graduate (includes equivalency)","Margin of Error!!Total!!Moved from abroad!!High school graduate (includes equivalency)","Estimate!!Total!!Moved from abroad!!Some college or associate's degree","Margin of Error!!Total!!Moved from abroad!!Some college or associate's degree","Estimate!!Total!!Moved from abroad!!Bachelor's degree","Margin of Error!!Total!!Moved from abroad!!Bachelor's degree","Estimate!!Total!!Moved from abroad!!Graduate or professional degree","Margin of Error!!Total!!Moved from abroad!!Graduate or professional degree","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Less than high school graduate","Margin of Error!!Total!!Less than high school graduate","Estimate!!Total!!High school graduate (includes equivalency)","Margin of Error!!Total!!High school graduate (includes equivalency)","Estimate!!Total!!Some college or associate's degree","Margin of Error!!Total!!Some college or associate's degree","Estimate!!Total!!Bachelor's degree","Margin of Error!!Total!!Bachelor's degree","Estimate!!Total!!Graduate or professional degree","Margin of Error!!Total!!Graduate or professional degree","Estimate!!Total!!Same house 1 year ago","Margin of Error!!Total!!Same house 1 year ago","Estimate!!Total!!Same house 1 year ago!!Less than high school graduate"
"0500000US44005","Newport County, Rhode Island","1216","10838","1619","12987","1683","13850","1659","13208","1968","2241","857","532","496","328","239","407","385","708","533","266","306","1560","570","172","201","153","175","388","268","644","327","203","184","2688","908","80","140","101","175","286","255","1282","627","939","445","443","404","242","339","0","220","0","220","94","128","107","124","61616","781","4827","1476","11420","1640","14068","1690","16578","1707","14723","2032","54684","1505","3801"
"0500000US44009","Washington County, Rhode Island","1019","18699","2333","19981","1767","21827","2264","17103","2174","1840","657","128","163","557","291","554","319","444","355","157","193","1239","669","89","156","57","116","288","238","376","331","429","389","2023","637","343","230","453","416","289","216","473","302","465","279","202","176","0","220","0","220","165","151","37","58","0","220","87230","974","4876","1096","19766","2459","21277","1796","23157","2337","18154","2317","81926","1431","4316"
"0500000US45073","Oconee County, South Carolina","2154","13775","2087","15330","2139","7553","1505","4996","1104","3566","1528","424","323","1311","744","1362","761","411","363","58","101","646","360","43","68","89","115","203","193","244","245","67","116","2332","972","292","354","288","274","598","403","763","491","391","350","359","334","0","214","183","201","0","214","91","143","85","137","56382","639","8584","2103","15646","2032","17493","2345","9062","1622","5597","1174","49479","1885","7825"
"0500000US48187","Guadalupe County, Texas","1772","29977","3053","29224","2729","17901","2188","8231","1513","5154","1823","630","399","2530","1422","1172","766","502","455","320","287","4127","1297","268","305","1370","670","939","586","811","416","739","536","2404","1018","111","178","869","774","389","272","648","398","387","330","486","388","154","247","83","130","77","128","52","88","120","221","107894","512","11553","1856","34829","3458","31801","2708","19914","2335","9797","1776","95723","2645","10390"
"0500000US53061","Snohomish County, Washington","3313","117046","6449","175586","5482","105529","5089","49695","3055","45440","4303","5533","2486","8983","1739","17041","2855","9935","1830","3948","1223","23444","2856","1491","844","4307","1308","7250","1666","6136","1281","4260","1136","11266","2953","940","569","2205","1143","3833","1261","2852","1152","1436","654","3670","1274","373","314","488","472","716","691","1150","604","943","452","567618","1050","44279","3532","133029","6413","204426","6452","125602","5812","60282","3471","483798","5907","35942"
"0500000US72113","Ponce Municipio, Puerto Rico","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"0500000US06085","Santa Clara County, California","6839","165305","7516","260991","8636","325158","10244","282851","7716","116120","8653","11632","2648","15738","2874","23071","3493","33309","3336","32370","3120","26700","3678","964","420","1968","823","4742","1216","10071","2004","8955","1600","21442","3142","492","391","720","441","2490","817","7299","1583","10441","1849","20399","3283","1399","640","955","480","2652","1618","7395","1500","7998","1774","1349769","889","145290","7242","184686","7717","293946","8880","383232","9790","342615","8731","1165108","10202","130803"
"0500000US06099","Stanislaus County, California","4593","95867","5114","102856","4967","35886","3297","16070","2482","22629","3288","3235","1236","8954","1999","7205","1628","2533","872","702","350","8851","1906","1272","547","2281","973","3520","1159","952","476","826","472","1452","855","63","109","431","351","58","97","445","439","455","536","1121","588","324","240","427","376","265","276","105","107","0","211","348796","694","68958","4488","107960","5652","113904","4837","39921","3310","18053","2595","314743","3925","64064"
"0500000US12099","Palm Beach County, Florida","7239","234430","10041","257365","10465","213983","8371","134527","5538","80889","8037","8952","1937","20787","3910","23094","3247","18046","2812","10010","1589","22015","3027","3427","1244","4397","1248","6571","1621","3958","1097","3662","1272","29723","3283","2205","1180","3862","1259","8947","1733","9017","1687","5692","1360","8980","2266","1462","790","2011","1030","1985","973","2494","985","1028","582","1090260","391","124394","7568","265487","10212","297962","10511","247498","8846","154919","6407","948653","9175","108348"
"0500000US13117","Forsyth County, Georgia","1531","24298","2487","30427","1997","46405","3063","27043","2412","5690","1628","219","175","723","503","1667","809","1629","687","1452","804","7715","1725","128","132","710","527","1589","633","3145","1022","2143","726","3540","1206","79","114","398","240","1204","928","900","500","959","487","507","397","27","45","0","226","0","226","440","374","40","72","154377","754","9205","1494","26129","2588","34887","2224","52519","3229","31637","2541","136925","2850","8752"
"0500000US20173","Sedgwick County, Kansas","2569","69849","4286","88495","4980","57247","3468","34355","2886","41440","4709","5477","1291","12454","2678","13908","2257","5817","1434","3784","1121","5541","1391","250","290","1950","880","1742","666","873","478","726","737","6915","1939","709","696","1291","798","2620","868","1115","514","1180","636","1610","831","9","17","159","153","544","535","296","226","602","515","334230","312","35223","2657","85703","5064","107309","5213","65348","3429","40647","3192","278724","5095","28778"
"0500000US26005","Allegan County, Michigan","1183","26000","1617","23369","1627","10421","1631","6907","1054","2565","642","106","85","929","471","1159","450","287","190","84","147","2433","768","223","261","763","315","794","433","376","222","277","195","612","453","0","172","272","250","130","193","140","116","70","93","253","177","87","99","37","60","44","78","44","54","41","72","80051","464","7907","1177","28001","1737","25496","1749","11268","1666","7379","1106","74188","1270","7491"
"0500000US26081","Kent County, Michigan","2836","90292","4200","120864","4867","90840","4446","46948","3261","36794","3643","4612","1378","10088","2184","10028","2119","8799","1783","3267","1054","9887","1694","955","625","2326","962","2582","810","2623","898","1401","516","7487","2078","220","353","1190","713","2284","1528","2071","749","1722","786","1876","911","260","259","930","740","0","172","543","343","143","138","434090","334","35149","3260","104826","4440","135758","4888","104876","4738","53481","3400","378046","4704","29102"
"0500000US29189","St. Louis County, Missouri","3218","127439","5526","173506","6612","152860","6118","117338","4889","50339","5091","4024","1268","10097","1966","18398","2989","10099","1956","7721","1559","18640","3245","709","409","3776","1080","6101","1510","4803","1472","3251","1050","11609","2289","351","348","1928","674","2468","803","3230","1059","3632","1116","2308","1412","391","415","364","377","123","173","1207","1228","223","169","692991","946","44427","3635","143604","6192","200596","6890","172199","6274","132165","4977","610095","5728","38952"
"0500000US34007","Camden County, New Jersey","3478","89221","4496","84236","4777","59259","3415","38743","3265","23238","3080","3050","1093","6492","1658","7724","1868","3292","979","2680","957","9118","2495","450","385","2596","1033","2514","914","3225","1326","333","196","6715","1735","975","592","1076","758","1952","857","1740","809","972","520","2979","1580","558","376","780","810","828","575","247","397","566","589","350674","5","42198","3517","100165","4320","97254","4999","67763","3766","43294","3693","308624","3918","37165"
"0500000US35035","Otero County, New Mexico","1617","10575","2000","12732","1794","3446","963","2829","798","2709","1194","185","197","1497","935","662","461","279","339","86","121","2188","990","62","112","455","458","819","574","696","510","156","202","3164","1276","147","136","247","268","1134","941","1339","908","297","336","1201","793","631","347","62","112","446","416","62","112","0","201","44690","1209","6871","1742","12836","2103","15793","2166","5822","1356","3368","933","35428","2076","5846"
