FIPS,County,High school graduate (includes equivalency),Some college or associate's degree,Bachelor's degree,Graduate or professional degree,Total,State,Year
39151.0,Stark,101691.0,76085.0,34464.0,18298.0,257180.0,Ohio,2010
39153.0,Summit,117485.0,101467.0,72991.0,36968.0,368591.0,Ohio,2010
39155.0,Trumbull,65031.0,38810.0,17832.0,8276.0,146951.0,Ohio,2010
39157.0,Tuscarawas,,,,,,Ohio,2010
39165.0,Warren,39738.0,37463.0,34109.0,16373.0,139899.0,Ohio,2010
39169.0,Wayne,,,,,,Ohio,2010
39173.0,Wood,23497.0,26217.0,13361.0,8689.0,77700.0,Ohio,2010
40017.0,Canadian,19998.0,29688.0,14481.0,5498.0,76200.0,Oklahoma,2010
40027.0,Cleveland,44294.0,53026.0,31444.0,19825.0,162641.0,Oklahoma,2010
40031.0,Comanche,27245.0,27047.0,8799.0,4975.0,77273.0,Oklahoma,2010
40037.0,Creek,18742.0,14274.0,6044.0,1698.0,47181.0,Oklahoma,2010
40101.0,Muskogee,15282.0,16356.0,5417.0,2949.0,47111.0,Oklahoma,2010
40109.0,Oklahoma,120367.0,145691.0,86792.0,44344.0,463970.0,Oklahoma,2010
40119.0,Payne,9796.0,14023.0,9320.0,5819.0,43115.0,Oklahoma,2010
40125.0,Pottawatomie,,,,,,Oklahoma,2010
40131.0,Rogers,18489.0,19351.0,9351.0,3499.0,56930.0,Oklahoma,2010
40143.0,Tulsa,105102.0,129653.0,74957.0,36083.0,392555.0,Oklahoma,2010
40145.0,Wagoner,,,,,,Oklahoma,2010
41003.0,Benton,8136.0,14939.0,13112.0,11077.0,50386.0,Oregon,2010
41005.0,Clackamas,63685.0,95710.0,49846.0,27417.0,259973.0,Oregon,2010
41017.0,Deschutes,24628.0,44384.0,22891.0,10387.0,109851.0,Oregon,2010
41019.0,Douglas,24835.0,29232.0,8131.0,4396.0,77578.0,Oregon,2010
41029.0,Jackson,40406.0,53222.0,21539.0,12248.0,142279.0,Oregon,2010
41033.0,Josephine,,,,,,Oregon,2010
41035.0,Klamath,13905.0,16849.0,5322.0,2684.0,45030.0,Oregon,2010
41039.0,Lane,58653.0,89169.0,39682.0,26552.0,237274.0,Oregon,2010
41043.0,Linn,25021.0,31886.0,11039.0,3592.0,79626.0,Oregon,2010
