FIPS,County,High school graduate (includes equivalency),Some college or associate's degree,Bachelor's degree,Graduate or professional degree,Total,State,Year
35043,Sandoval,26068,33646,16504,11618,97983,New Mexico,2017
35045,San,25803,30863,7330,4045,81121,New Mexico,2017
35049,Santa,26052,29466,22386,22152,110401,New Mexico,2017
35061,Valencia,16557,18725,4633,2838,50650,New Mexico,2017
36001,Albany,46290,55943,45295,42571,205266,New York,2017
36005,Bronx,263368,235123,119914,67208,953271,New York,2017
36007,Broome,39430,41194,19509,15506,127879,New York,2017
36009,Cattaraugus,19738,16883,5875,4740,52806,New York,2017
36011,Cayuga,18266,17876,8024,4537,55989,New York,2017
36013,Chautauqua,30577,28680,10981,9249,88890,New York,2017
36015,Chemung,,,,,,New York,2017
36019,Clinton,21876,13976,7123,5088,55133,New York,2017
36027,Dutchess,55384,62871,37229,33979,206240,New York,2017
36029,Erie,177229,196905,129263,94011,649960,New York,2017
36045,Jefferson,25126,24292,9243,6066,72243,New York,2017
36047,Kings,483107,350812,402835,272709,1820860,New York,2017
36051,Livingston,,,,,,New York,2017
36053,Madison,,,,,,New York,2017
36055,Monroe,126028,148592,104187,87925,515145,New York,2017
36059,Nassau,218684,217357,236890,192591,951605,New York,2017
36061,New,153590,170963,389667,381334,1273269,New York,2017
36063,Niagara,50467,50468,20065,16834,151004,New York,2017
36065,Oneida,50510,52412,22461,15430,160501,New York,2017
36067,Onondaga,82238,93280,63638,50344,317164,New York,2017
36069,Ontario,19619,24531,17108,11547,77999,New York,2017
36071,Orange,71246,72797,44360,31454,244723,New York,2017
36075,Oswego,30237,25326,7974,6685,80195,New York,2017
36079,Putnam,20597,18095,14929,12736,71447,New York,2017
36081,Queens,493794,372885,335990,187649,1695302,New York,2017
36083,Rensselaer,31730,34954,20143,15125,111047,New York,2017
36085,Richmond,100730,83679,66108,44531,334079,New York,2017
36087,Rockland,46985,51510,46786,37732,205985,New York,2017
36089,St.,25858,20091,8279,9163,72555,New York,2017
36091,Saratoga,39033,45561,37886,31278,164414,New York,2017
36093,Schenectady,32144,35263,17210,12751,107453,New York,2017
36101,Steuben,25920,20685,7451,7445,68011,New York,2017
36103,Suffolk,277080,279213,208064,169968,1036946,New York,2017
36105,Sullivan,17279,14339,9250,6145,53310,New York,2017
36109,Tompkins,11114,14147,13684,18616,61921,New York,2017
36111,Ulster,38714,38967,23437,19314,130912,New York,2017
36113,Warren,14637,14419,7266,7826,48385,New York,2017
36117,Wayne,,,,,,New York,2017
36119,Westchester,135348,132352,159248,164186,675568,New York,2017
37001,Alamance,32283,34713,17072,8615,109959,North Carolina,2017
37019,Brunswick,30325,32603,19442,11729,102846,North Carolina,2017
37021,Buncombe,43869,49407,50698,29108,189252,North Carolina,2017
37023,Burke,,,,,,North Carolina,2017
37025,Cabarrus,34209,43470,27987,15573,137026,North Carolina,2017
37027,Caldwell,20064,16914,5050,4108,58662,North Carolina,2017
37031,Carteret,13013,21370,8097,5278,51901,North Carolina,2017
37035,Catawba,32681,37495,14478,7141,108709,North Carolina,2017
37037,Chatham,,,,,,North Carolina,2017
37045,Cleveland,23166,22063,7417,4220,66378,North Carolina,2017
37049,Craven,14550,24773,12467,6305,66794,North Carolina,2017
37051,Cumberland,55872,81541,33514,15764,205965,North Carolina,2017
